X	with_RELA
-150	0.0945494994438
-149	0.102892102336
-148	0.0934371523915
-147	0.0987208008899
-146	0.101501668521
-145	0.108453837597
-144	0.104282536151
-143	0.0973303670745
-142	0.0978865406007
-141	0.113737486096
-140	0.105672969967
-139	0.0970522803115
-138	0.103170189099
-137	0.113459399333
-136	0.103448275862
-135	0.109288097887
-134	0.124582869855
-133	0.114571746385
-132	0.102057842047
-131	0.0978865406007
-130	0.107897664071
-129	0.111790878754
-128	0.115406006674
-127	0.0976084538376
-126	0.0928809788654
-125	0.112068965517
-124	0.121245828699
-123	0.110678531702
-122	0.101501668521
-121	0.118464961068
-120	0.0984427141268
-119	0.104004449388
-118	0.100945494994
-117	0.101223581758
-116	0.115127919911
-115	0.111512791991
-114	0.107341490545
-113	0.102892102336
-112	0.10956618465
-111	0.116240266963
-110	0.111512791991
-109	0.13042269188
-108	0.115127919911
-107	0.113737486096
-106	0.119855394883
-105	0.107063403782
-104	0.106229143493
-103	0.122080088988
-102	0.114015572859
-101	0.110400444939
-100	0.101501668521
-99	0.110956618465
-98	0.115127919911
-97	0.107063403782
-96	0.118186874305
-95	0.114849833148
-94	0.116796440489
-93	0.115406006674
-92	0.120133481646
-91	0.128476084538
-90	0.120689655172
-89	0.120967741935
-88	0.117352614016
-87	0.121802002225
-86	0.124860956618
-85	0.128197997775
-84	0.119855394883
-83	0.114849833148
-82	0.13042269188
-81	0.135706340378
-80	0.115684093437
-79	0.116796440489
-78	0.124860956618
-77	0.120689655172
-76	0.134872080089
-75	0.134315906563
-74	0.116240266963
-73	0.112068965517
-72	0.122914349277
-71	0.127919911012
-70	0.125417130145
-69	0.125417130145
-68	0.123748609566
-67	0.125139043382
-66	0.137374860957
-65	0.139599555061
-64	0.135428253615
-63	0.137096774194
-62	0.131535038932
-61	0.121245828699
-60	0.132369299221
-59	0.122914349277
-58	0.129588431591
-57	0.134315906563
-56	0.14043381535
-55	0.14126807564
-54	0.132925472747
-53	0.129310344828
-52	0.131256952169
-51	0.134315906563
-50	0.140711902113
-49	0.131535038932
-48	0.130144605117
-47	0.127085650723
-46	0.139877641824
-45	0.132369299221
-44	0.142936596218
-43	0.156840934372
-42	0.139043381535
-41	0.135706340378
-40	0.140989988877
-39	0.154616240267
-38	0.145995550612
-37	0.150723025584
-36	0.144605116796
-35	0.135984427141
-34	0.130978865406
-33	0.147107897664
-32	0.156284760845
-31	0.160734149055
-30	0.14488320356
-29	0.144327030033
-28	0.145161290323
-27	0.147942157953
-26	0.160734149055
-25	0.14488320356
-24	0.16212458287
-23	0.157675194661
-22	0.157119021135
-21	0.142380422692
-20	0.143214682981
-19	0.144605116796
-18	0.153225806452
-17	0.176863181313
-16	0.192992213571
-15	0.164627363737
-14	0.182703003337
-13	0.150166852058
-12	0.140711902113
-11	0.146273637375
-10	0.155450500556
-9	0.143770856507
-8	0.124860956618
-7	0.145439377086
-6	0.134872080089
-5	0.148220244716
-4	0.187986651835
-3	0.213848720801
-2	0.112903225806
-1	0.0522803114572
0	0.0536707452725
1	0.106785317019
2	0.200500556174
3	0.171301446051
4	0.154060066741
5	0.132091212458
6	0.131535038932
7	0.114293659622
8	0.147107897664
9	0.151001112347
10	0.138209121246
11	0.140711902113
12	0.152669632925
13	0.163236929922
14	0.159343715239
15	0.17575083426
16	0.163515016685
17	0.145717463849
18	0.131813125695
19	0.14126807564
20	0.153225806452
21	0.156284760845
22	0.168798665184
23	0.167130144605
24	0.158787541713
25	0.139321468298
26	0.142936596218
27	0.135428253615
28	0.133759733037
29	0.145717463849
30	0.138209121246
31	0.147385984427
32	0.137374860957
33	0.145439377086
34	0.158231368187
35	0.143492769744
36	0.136540600667
37	0.149610678532
38	0.149610678532
39	0.138209121246
40	0.15127919911
41	0.139043381535
42	0.132091212458
43	0.151557285873
44	0.153225806452
45	0.130978865406
46	0.14766407119
47	0.146273637375
48	0.137931034483
49	0.153225806452
50	0.14766407119
51	0.13765294772
52	0.127085650723
53	0.149054505006
54	0.136262513904
55	0.139321468298
56	0.123748609566
57	0.118743047831
58	0.132925472747
