X	with_clust3_RELA
-150	0.100552486188
-149	0.104972375691
-148	0.101657458564
-147	0.140331491713
-146	0.133701657459
-145	0.140331491713
-144	0.104972375691
-143	0.0950276243094
-142	0.117127071823
-141	0.125966850829
-140	0.127071823204
-139	0.100552486188
-138	0.114917127072
-137	0.129281767956
-136	0.122651933702
-135	0.118232044199
-134	0.15138121547
-133	0.137016574586
-132	0.117127071823
-131	0.102762430939
-130	0.117127071823
-129	0.102762430939
-128	0.0983425414365
-127	0.0994475138122
-126	0.0994475138122
-125	0.117127071823
-124	0.127071823204
-123	0.127071823204
-122	0.130386740331
-121	0.133701657459
-120	0.0906077348066
-119	0.111602209945
-118	0.100552486188
-117	0.123756906077
-116	0.148066298343
-115	0.124861878453
-114	0.130386740331
-113	0.107182320442
-112	0.134806629834
-111	0.123756906077
-110	0.118232044199
-109	0.161325966851
-108	0.130386740331
-107	0.119337016575
-106	0.139226519337
-105	0.121546961326
-104	0.118232044199
-103	0.122651933702
-102	0.111602209945
-101	0.106077348066
-100	0.11270718232
-99	0.121546961326
-98	0.125966850829
-97	0.104972375691
-96	0.127071823204
-95	0.113812154696
-94	0.101657458564
-93	0.116022099448
-92	0.160220994475
-91	0.148066298343
-90	0.119337016575
-89	0.162430939227
-88	0.162430939227
-87	0.132596685083
-86	0.131491712707
-85	0.144751381215
-84	0.137016574586
-83	0.182320441989
-82	0.160220994475
-81	0.161325966851
-80	0.138121546961
-79	0.11270718232
-78	0.119337016575
-77	0.127071823204
-76	0.155801104972
-75	0.134806629834
-74	0.141436464088
-73	0.114917127072
-72	0.130386740331
-71	0.148066298343
-70	0.165745856354
-69	0.149171270718
-68	0.118232044199
-67	0.155801104972
-66	0.149171270718
-65	0.174585635359
-64	0.159116022099
-63	0.145856353591
-62	0.162430939227
-61	0.142541436464
-60	0.159116022099
-59	0.153591160221
-58	0.130386740331
-57	0.144751381215
-56	0.150276243094
-55	0.17679558011
-54	0.18453038674
-53	0.161325966851
-52	0.162430939227
-51	0.174585635359
-50	0.174585635359
-49	0.12817679558
-48	0.113812154696
-47	0.141436464088
-46	0.153591160221
-45	0.153591160221
-44	0.202209944751
-43	0.194475138122
-42	0.172375690608
-41	0.165745856354
-40	0.171270718232
-39	0.185635359116
-38	0.158011049724
-37	0.185635359116
-36	0.18453038674
-35	0.142541436464
-34	0.139226519337
-33	0.173480662983
-32	0.172375690608
-31	0.137016574586
-30	0.153591160221
-29	0.169060773481
-28	0.208839779006
-27	0.191160220994
-26	0.238674033149
-25	0.202209944751
-24	0.211049723757
-23	0.153591160221
-22	0.17679558011
-21	0.179005524862
-20	0.170165745856
-19	0.165745856354
-18	0.173480662983
-17	0.214364640884
-16	0.238674033149
-15	0.196685082873
-14	0.186740331492
-13	0.182320441989
-12	0.172375690608
-11	0.173480662983
-10	0.197790055249
-9	0.161325966851
-8	0.144751381215
-7	0.169060773481
-6	0.154696132597
-5	0.167955801105
-4	0.219889502762
-3	0.228729281768
-2	0.145856353591
-1	0.0662983425414
0	0.0475138121547
1	0.124861878453
2	0.262983425414
3	0.236464088398
4	0.18453038674
5	0.181215469613
6	0.170165745856
7	0.121546961326
8	0.171270718232
9	0.144751381215
10	0.158011049724
11	0.150276243094
12	0.17679558011
13	0.183425414365
14	0.190055248619
15	0.175690607735
16	0.2
17	0.167955801105
18	0.152486187845
19	0.148066298343
20	0.164640883978
21	0.182320441989
22	0.211049723757
23	0.20773480663
24	0.180110497238
25	0.163535911602
26	0.202209944751
27	0.173480662983
28	0.162430939227
29	0.194475138122
30	0.183425414365
31	0.182320441989
32	0.173480662983
33	0.182320441989
34	0.196685082873
35	0.171270718232
36	0.163535911602
37	0.183425414365
38	0.185635359116
39	0.163535911602
40	0.18453038674
