X	with_clust5_RELA
-150	0.0906832298137
-149	0.0670807453416
-148	0.0732919254658
-147	0.0782608695652
-146	0.0782608695652
-145	0.0807453416149
-144	0.0931677018634
-143	0.127950310559
-142	0.0857142857143
-141	0.0857142857143
-140	0.0869565217391
-139	0.0795031055901
-138	0.088198757764
-137	0.0906832298137
-136	0.0944099378882
-135	0.116770186335
-134	0.12049689441
-133	0.111801242236
-132	0.103105590062
-131	0.0931677018634
-130	0.0894409937888
-129	0.114285714286
-128	0.111801242236
-127	0.0695652173913
-126	0.0807453416149
-125	0.0919254658385
-124	0.127950310559
-123	0.106832298137
-122	0.088198757764
-121	0.119254658385
-120	0.0844720496894
-119	0.0857142857143
-118	0.108074534161
-117	0.0869565217391
-116	0.0857142857143
-115	0.104347826087
-114	0.095652173913
-113	0.0894409937888
-112	0.0993788819876
-111	0.121739130435
-110	0.103105590062
-109	0.130434782609
-108	0.104347826087
-107	0.0944099378882
-106	0.101863354037
-105	0.113043478261
-104	0.110559006211
-103	0.115527950311
-102	0.11801242236
-101	0.115527950311
-100	0.088198757764
-99	0.088198757764
-98	0.0981366459627
-97	0.12049689441
-96	0.0944099378882
-95	0.116770186335
-94	0.113043478261
-93	0.0931677018634
-92	0.0770186335404
-91	0.0981366459627
-90	0.101863354037
-89	0.12049689441
-88	0.0869565217391
-87	0.104347826087
-86	0.130434782609
-85	0.121739130435
-84	0.108074534161
-83	0.0670807453416
-82	0.111801242236
-81	0.115527950311
-80	0.0894409937888
-79	0.109316770186
-78	0.12298136646
-77	0.103105590062
-76	0.0906832298137
-75	0.114285714286
-74	0.108074534161
-73	0.111801242236
-72	0.132919254658
-71	0.12049689441
-70	0.103105590062
-69	0.0968944099379
-68	0.114285714286
-67	0.106832298137
-66	0.136645962733
-65	0.11801242236
-64	0.124223602484
-63	0.154037267081
-62	0.139130434783
-61	0.121739130435
-60	0.0906832298137
-59	0.100621118012
-58	0.12049689441
-57	0.137888198758
-56	0.114285714286
-55	0.109316770186
-54	0.105590062112
-53	0.129192546584
-52	0.146583850932
-51	0.129192546584
-50	0.12049689441
-49	0.137888198758
-48	0.12298136646
-47	0.131677018634
-46	0.155279503106
-45	0.135403726708
-44	0.103105590062
-43	0.140372670807
-42	0.141614906832
-41	0.125465838509
-40	0.149068322981
-39	0.127950310559
-38	0.160248447205
-37	0.151552795031
-36	0.151552795031
-35	0.140372670807
-34	0.151552795031
-33	0.137888198758
-32	0.166459627329
-31	0.130434782609
-30	0.135403726708
-29	0.154037267081
-28	0.141614906832
-27	0.144099378882
-26	0.139130434783
-25	0.125465838509
-24	0.15900621118
-23	0.178881987578
-22	0.149068322981
-21	0.129192546584
-20	0.126708074534
-19	0.121739130435
-18	0.146583850932
-17	0.171428571429
-16	0.201242236025
-15	0.168944099379
-14	0.218633540373
-13	0.136645962733
-12	0.115527950311
-11	0.130434782609
-10	0.172670807453
-9	0.170186335404
-8	0.135403726708
-7	0.160248447205
-6	0.157763975155
-5	0.196273291925
-4	0.208695652174
-3	0.239751552795
-2	0.116770186335
-1	0.0633540372671
0	0.0621118012422
1	0.116770186335
2	0.187577639752
3	0.188819875776
4	0.150310559006
5	0.131677018634
6	0.132919254658
7	0.114285714286
8	0.152795031056
9	0.142857142857
10	0.12298136646
11	0.129192546584
12	0.12298136646
13	0.185093167702
14	0.175155279503
15	0.214906832298
16	0.182608695652
17	0.152795031056
18	0.127950310559
19	0.136645962733
20	0.142857142857
21	0.168944099379
22	0.170186335404
23	0.167701863354
24	0.154037267081
25	0.166459627329
26	0.154037267081
27	0.150310559006
28	0.154037267081
29	0.15652173913
30	0.121739130435
31	0.113043478261
32	0.129192546584
33	0.15652173913
34	0.141614906832
35	0.139130434783
36	0.141614906832
37	0.145341614907
38	0.131677018634
39	0.130434782609
40	0.155279503106
41	0.144099378882
42	0.149068322981
43	0.147826086957
44	0.15900621118
45	0.12298136646
46	0.114285714286
47	0.105590062112
48	0.130434782609
49	0.131677018634
50	0.134161490683
51	0.0894409937888
52	0.095652173913
53	0.108074534161
54	0.124223602484
55	0.115527950311
56	0.116770186335
57	0.131677018634
58	0.142857142857
59	0.12298136646
60	0.126708074534
61	0.121739130435
62	0.121739130435
63	0.11801242236
64	0.110559006211
65	0.104347826087
66	0.116770186335
67	0.127950310559
68	0.134161490683
69	0.15900621118
70	0.155279503106
71	0.106832298137
72	0.101863354037
73	0.130434782609
74	0.114285714286
75	0.114285714286
76	0.106832298137
77	0.12298136646
78	0.113043478261
79	0.111801242236
80	0.193788819876
81	0.137888198758
82	0.15652173913
83	0.136645962733
84	0.147826086957
85	0.154037267081
86	0.136645962733
87	0.104347826087
88	0.0894409937888
89	0.119254658385
90	0.114285714286
91	0.135403726708
92	0.152795031056
93	0.12049689441
94	0.106832298137
