X	with_clust1_RELA
-150	0.0640668523677
-149	0.091922005571
-148	0.066852367688
-147	0.0779944289694
-146	0.0640668523677
-145	0.0529247910864
-144	0.0947075208914
-143	0.0779944289694
-142	0.103064066852
-141	0.108635097493
-140	0.125348189415
-139	0.0779944289694
-138	0.0947075208914
-137	0.108635097493
-136	0.108635097493
-135	0.0807799442897
-134	0.133704735376
-133	0.075208913649
-132	0.0947075208914
-131	0.108635097493
-130	0.0891364902507
-129	0.136490250696
-128	0.122562674095
-127	0.091922005571
-126	0.105849582173
-125	0.144846796657
-124	0.136490250696
-123	0.133704735376
-122	0.0947075208914
-121	0.103064066852
-120	0.105849582173
-119	0.108635097493
-118	0.0863509749304
-117	0.111420612813
-116	0.122562674095
-115	0.105849582173
-114	0.103064066852
-113	0.122562674095
-112	0.111420612813
-111	0.158774373259
-110	0.091922005571
-109	0.114206128134
-108	0.0891364902507
-107	0.08356545961
-106	0.0891364902507
-105	0.100278551532
-104	0.0863509749304
-103	0.147632311978
-102	0.144846796657
-101	0.147632311978
-100	0.150417827298
-99	0.128133704735
-98	0.114206128134
-97	0.0974930362117
-96	0.133704735376
-95	0.144846796657
-94	0.100278551532
-93	0.119777158774
-92	0.08356545961
-91	0.122562674095
-90	0.108635097493
-89	0.128133704735
-88	0.116991643454
-87	0.194986072423
-86	0.175487465181
-85	0.150417827298
-84	0.136490250696
-83	0.0891364902507
-82	0.16713091922
-81	0.105849582173
-80	0.111420612813
-79	0.114206128134
-78	0.155988857939
-77	0.114206128134
-76	0.139275766017
-75	0.0974930362117
-74	0.0974930362117
-73	0.153203342618
-72	0.150417827298
-71	0.130919220056
-70	0.0863509749304
-69	0.105849582173
-68	0.147632311978
-67	0.161559888579
-66	0.139275766017
-65	0.125348189415
-64	0.128133704735
-63	0.091922005571
-62	0.114206128134
-61	0.0891364902507
-60	0.103064066852
-59	0.133704735376
-58	0.158774373259
-57	0.125348189415
-56	0.155988857939
-55	0.111420612813
-54	0.114206128134
-53	0.111420612813
-52	0.0696378830084
-51	0.116991643454
-50	0.114206128134
-49	0.158774373259
-48	0.183844011142
-47	0.119777158774
-46	0.111420612813
-45	0.125348189415
-44	0.16991643454
-43	0.181058495822
-42	0.153203342618
-41	0.153203342618
-40	0.116991643454
-39	0.175487465181
-38	0.147632311978
-37	0.125348189415
-36	0.114206128134
-35	0.16991643454
-34	0.111420612813
-33	0.144846796657
