"  "	" "
"MA0039.2.Klf4"	-12.1300177171412	-12.1300177171412
"MA0732.1.EGR3"	-12.1296918740734	-12.1296918740734
"MA0824.1.ID4"	-12.1279106285712	-12.1279106285712
"MA0162.2.EGR1"	-12.1278364330964	-12.1278364330964
"UP00391_1_Hoxa3_primary"	-12.1191692999483	-12.1191692999483
"MA0608.1.Creb3l2"	-12.114621531583	-12.114621531583
"MA0749.1.ZBED1"	-12.1014234636039	-12.1014234636039
"MA0830.1.TCF4"	-12.0741498511779	-12.0741498511779
"UP00236_1_Irx2_0900.3"	-12.0741300941303	-12.0741300941303
"UP00242_1_Hoxc8_3429.2"	-12.0689625225942	-12.0689625225942
"MA0158.1.HOXA5"	-12.0518965918669	-12.0518965918669
"MA0823.1.HEY1"	-12.0074869698283	-12.0074869698283
"MA0745.1.SNAI2"	-11.8961181168151	-11.8961181168151
"MA0900.1.HOXA2"	-11.8576402951107	-11.8576402951107
"MA0139.1.CTCF"	-11.7562451327304	-11.7562451327304
"MA0735.1.GLIS1"	-11.596381085403	-11.596381085403
"MA0840.1.Creb5"	-11.5009007339199	-11.5009007339199
"UP00260_1_Hoxc6_3954.2"	-11.3949771348332	-11.3949771348332
"UP00182_1_Hoxa6_1040.1"	-11.2964182257182	-11.2964182257182
"MA0774.1.MEIS2"	-10.9662848517043	-10.9662848517043
"MA0029.1.Mecom"	-10.9634134727692	-10.9634134727692
"MA0670.1.NFIA"	-10.5258157233173	-10.5258157233173
"UP00263_1_Hoxb8_3780.2"	-10.353643433854	-10.353643433854
"MA0864.1.E2F2"	-10.2726261526666	-10.2726261526666
"MA0024.3.E2F1"	-10.2296983582758	-10.2296983582758
"MA0106.3.TP53"	-9.77557752412017	-9.77557752412017
"MA0734.1.GLI2"	-9.73081642480542	-9.73081642480542
"MA0777.1.MYBL2"	-9.54428894536152	-9.54428894536152
"UP00148_1_Hdx_3845.3"	-9.52785348275642	-9.52785348275642
"MA0806.1.TBX4"	-9.38075478522544	-9.38075478522544
"MA0865.1.E2F8"	-9.21896845162127	-9.21896845162127
"MA0070.1.PBX1"	-9.20977763706893	-9.20977763706893
"MA0497.1.MEF2C"	-9.16320013116837	-9.16320013116837
"MA0797.1.TGIF2"	-9.08157864131122	-9.08157864131122
"MA0869.1.Sox11"	-7.96781441996463	-7.96781441996463
"MA0783.1.PKNOX2"	-7.5433007252021	-7.5433007252021
"MA0036.2.GATA2"	-7.39147093751521	-7.39147093751521
"MA0490.1.JUNB"	-7.07519572713737	-7.07519572713737
"MA0769.1.Tcf7"	-6.65924277794735	-6.65924277794735
"MA0691.1.TFAP4"	-6.54345172978315	-6.54345172978315
"MA0593.1.FOXP2"	-6.28632474126082	-6.28632474126082
"MA0476.1.FOS"	-5.63946318989623	-5.63946318989623
"MA0160.1.NR4A2"	-5.43420814475646	-5.43420814475646
"MA0007.3.Ar"	-3.68303144066179	-3.68303144066179
"MA0521.1.Tcf12"	-2.72968389335528	-2.72968389335528
"MA0867.1.SOX4"	-2.21017965016131	-2.21017965016131
"MA0523.1.TCF7L2"	-0.327036240830552	-0.327036240830552
"MA0017.2.NR2F1"	-0.301029995663981	-0.301029995663981
"MA0103.2.ZEB1"	6.88477879893385	6.88477879893385
"MA0098.3.ETS1"	7.00859125386769	7.00859125386769
"MA0750.1.ZBTB7A"	7.48024636126847	7.48024636126847
"MA0003.3.TFAP2A"	9.67050986553903	9.67050986553903
"MA0066.1.PPARG"	10.1958587514883	10.1958587514883
"MA0737.1.GLIS3"	10.2660085640861	10.2660085640861
"MA0620.1.Mitf"	10.5047660631646	10.5047660631646
"MA0831.1.TFE3"	10.9468950743432	10.9468950743432
"MA0778.1.NFKB2"	11.144538255902	11.144538255902
"MA0771.1.HSF4"	11.1475518765812	11.1475518765812
"MA0727.1.NR3C2"	11.1505033029405	11.1505033029405
"MA0464.2.BHLHE40"	11.188709399963	11.188709399963
"MA0071.1.RORA"	11.2832226172275	11.2832226172275
"MA0682.1.Pitx1"	11.5748429166518	11.5748429166518
"MA0147.2.Myc"	11.7505701618711	11.7505701618711
"MA0835.1.BATF3"	11.7676075029804	11.7676075029804
"UP00049_1_Sp100_primary"	11.7678175462617	11.7678175462617
"MA0137.3.STAT1"	11.9050963476712	11.9050963476712
"MA0605.1.Atf3"	12.0202151033514	12.0202151033514
"MA0720.1.Shox2"	12.0526757167504	12.0526757167504
"MA0087.1.Sox5"	12.0715689003118	12.0715689003118
"MA0708.1.MSX2"	12.0732846387274	12.0732846387274
"MA0606.1.NFAT5"	12.0734182411555	12.0734182411555
"MA0599.1.KLF5"	12.1140632139927	12.1140632139927
"MA0688.1.TBX2"	12.1171743254106	12.1171743254106
"MA0684.1.RUNX3"	12.1203521312673	12.1203521312673
"MA0495.1.MAFF"	12.1255388396223	12.1255388396223
"MA0496.1.MAFK"	12.1273079693847	12.1273079693847
"MA0032.2.FOXC1"	12.128080793839	12.128080793839
"MA0477.1.FOSL1"	12.1300177171412	12.1300177171412
