"HMGB2 Young"	"HMGB2 Old"
"MA0003.3.TFAP2A"	12.1300177171409	2.45950785160189
"MA0007.3.Ar"	8.44698627647913	12.1300177171409
"MA0017.2.NR2F1"	11.8289877214769	12.1300177171409
"MA0024.3.E2F1"	1.90031935886516	12.1300177171409
"MA0029.1.Mecom"	1.1666042443717	12.1300177171409
"MA0032.2.FOXC1"	12.1300177171409	0.00193692330195254
"MA0036.2.GATA2"	4.73854677962571	12.1300177171409
"MA0039.2.Klf4"	-3.21892508335368e-13	12.1300177171409
"MA0066.1.PPARG"	12.1300177171409	1.93415896565262
"MA0070.1.PBX1"	2.92024008007199	12.1300177171409
"MA0071.1.RORA"	12.1300177171409	0.846795099913453
"MA0087.1.Sox5"	12.1300177171409	0.0584488168291245
"MA0098.3.ETS1"	12.1300177171409	5.12142646327323
"MA0103.2.ZEB1"	12.1300177171409	5.24523891820707
"MA0106.3.TP53"	2.35444019302075	12.1300177171409
"MA0137.3.STAT1"	12.1300177171409	0.224921369469688
"MA0139.1.CTCF"	0.373772584410548	12.1300177171409
"MA0147.2.Myc"	12.1300177171409	0.379447555269793
"MA0158.1.HOXA5"	0.0781211252740095	12.1300177171409
"MA0160.1.NR4A2"	6.69580957238446	12.1300177171409
"MA0162.2.EGR1"	0.00218128404454697	12.1300177171409
"MA0464.2.BHLHE40"	12.1300177171409	0.941308317177958
"MA0476.1.FOS"	6.49055452724469	12.1300177171409
"MA0477.1.FOSL1"	12.1300177171409	-3.21892508335368e-13
"MA0490.1.JUNB"	5.05482199000355	12.1300177171409
"MA0495.1.MAFF"	12.1300177171409	0.00447887751860884
"MA0496.1.MAFK"	12.1300177171409	0.00270974775623171
"MA0497.1.MEF2C"	2.96681758597255	12.1300177171409
"MA0521.1.Tcf12"	9.40033382378564	12.1300177171409
"MA0523.1.TCF7L2"	11.8029814763104	12.1300177171409
"MA0593.1.FOXP2"	5.8436929758801	12.1300177171409
"MA0599.1.KLF5"	12.1300177171409	0.0159545031482288
"MA0605.1.Atf3"	12.1300177171409	0.109802613789557
"MA0606.1.NFAT5"	12.1300177171409	0.0565994759854594
"MA0608.1.Creb3l2"	0.0153961855579245	12.1300177171409
"MA0620.1.Mitf"	12.1300177171409	1.62525165397631
"MA0670.1.NFIA"	1.60420199382367	12.1300177171409
"MA0682.1.Pitx1"	12.1300177171409	0.555174800489096
"MA0684.1.RUNX3"	12.1300177171409	0.00966558587364644
"MA0688.1.TBX2"	12.1300177171409	0.0128433917302696
"MA0691.1.TFAP4"	5.58656598735777	12.1300177171409
"MA0708.1.MSX2"	12.1300177171409	0.0567330784135091
"MA0720.1.Shox2"	12.1300177171409	0.077342000390532
"MA0727.1.NR3C2"	12.1300177171409	0.979514414200378
"MA0732.1.EGR3"	0.00032584306753534	12.1300177171409
"MA0734.1.GLI2"	2.3992012923355	12.1300177171409
"MA0735.1.GLIS1"	0.533636631737936	12.1300177171409
"MA0737.1.GLIS3"	12.1300177171409	1.86400915305484
"MA0745.1.SNAI2"	0.233899600325797	12.1300177171409
"MA0749.1.ZBED1"	0.0285942535370231	12.1300177171409
"MA0750.1.ZBTB7A"	12.1300177171409	4.64977135587245
"MA0769.1.Tcf7"	5.47077493919357	12.1300177171409
"MA0771.1.HSF4"	12.1300177171409	0.98246584055971
"MA0774.1.MEIS2"	1.16373286543663	12.1300177171409
"MA0777.1.MYBL2"	2.5857287717794	12.1300177171409
"MA0778.1.NFKB2"	12.1300177171409	0.985479461238963
"MA0783.1.PKNOX2"	4.58671699193882	12.1300177171409
"MA0797.1.TGIF2"	3.0484390758297	12.1300177171409
"MA0806.1.TBX4"	2.74926293191548	12.1300177171409
"MA0823.1.HEY1"	0.122530747312615	12.1300177171409
"MA0824.1.ID4"	0.00210708856973042	12.1300177171409
"MA0830.1.TCF4"	0.0558678659630129	12.1300177171409
"MA0831.1.TFE3"	12.1300177171409	1.18312264279767
"MA0835.1.BATF3"	12.1300177171409	0.362410214160558
"MA0840.1.Creb5"	0.629116983221024	12.1300177171409
"MA0864.1.E2F2"	1.85739156447434	12.1300177171409
"MA0865.1.E2F8"	2.91104926551965	12.1300177171409
"MA0867.1.SOX4"	9.91983806697961	12.1300177171409
"MA0869.1.Sox11"	4.16220329717629	12.1300177171409
"MA0900.1.HOXA2"	0.27237742203026	12.1300177171409
"UP00049_1_Sp100_primary"	12.1300177171409	0.362200170879211
"UP00148_1_Hdx_3845.3"	2.6021642343845	12.1300177171409
"UP00182_1_Hoxa6_1040.1"	0.833599491422737	12.1300177171409
"UP00236_1_Irx2_0900.3"	0.0558876230106537	12.1300177171409
"UP00242_1_Hoxc8_3429.2"	0.0610551945466729	12.1300177171409
"UP00260_1_Hoxc6_3954.2"	0.735040582307711	12.1300177171409
"UP00263_1_Hoxb8_3780.2"	1.77637428328697	12.1300177171409
"UP00391_1_Hoxa3_primary"	0.0108484171925968	12.1300177171409
