"HMGB1"	"HMGB2_broad"	"HMGB2_narrow"
"MA0029.1.Mecom"	0	3.95280303995873	1.93835906593831
"MA0076.2.ELK4"	0.278238832894447	14.9377189300274	1.18228922892919
"MA0095.2.YY1"	0.345265300763854	10.7810708149119	0.656965789520802
"MA0098.3.ETS1"	0.120313606272119	8.04341381011861	1.48114402343617
"MA0106.3.TP53"	0.015814856446716	1.30954696457374	7.87712907713556
"MA0137.3.STAT1"	0.0120523390928229	1.84478546050241	3.18202498719922
"MA0139.1.CTCF"	0.166546885268916	0	4.151281428207
"MA0150.2.Nfe2l2"	1.73721267209982e-05	0.000191131624078995	4.04187588933344
"MA0470.1.E2F4"	47.165426715986	0.0124275742657724	0
"MA0473.2.ELF1"	0.182480904768017	6.68661794242185	0.0884535654053859
"MA0474.2.ERG"	0.0800646302574782	10.3156933539284	0.0408965700412174
"MA0475.2.FLI1"	0.260712532229131	9.76497684050478	0.0356696435621506
"MA0477.1.FOSL1"	0	0.556580538217183	14.4978461071286
"MA0478.1.FOSL2"	0	0.0756638457651087	13.0295322449136
"MA0481.1.FOXP1"	0.0153151990810715	0.336054205336424	4.79680387506497
"MA0489.1.JUN.var.2"	0	0.507742622462009	13.5513245918343
"MA0497.1.MEF2C"	0	3.27690570619974	1.13322841197704
"MA0594.1.Hoxa9"	0.148937433762276	0.758627869841564	3.4789927475914
"MA0731.1.BCL6B"	1.03523610773189	4.49892703785695	0.288547097368641
"MA0746.1.SP3"	9.52051106788382	0	0
"MA0765.1.ETV5"	0.444953943474982	15.7035542057936	0.039605337697356
"MA0777.1.MYBL2"	0.0348312369660462	6.49025998442962	0.24375196383627
"MA0801.1.MGA"	0	3.40199784567949	0.0197920352361434
"MA0867.1.SOX4"	0.00752159554196855	3.9455401627606	4.69188398413439
"MA1099.1.Hes1"	12.1211394031616	4.32122676398201	0.00726537981366498
"UP00009_1_Nr2f2_primary"	0.000338881877004585	0.865249313891385	4.85511458171286
"UP00049_1_Sp100_primary"	0.349663330565452	8.3807396651482	0
"UP00148_1_Hdx_3845.3"	0.00660345304468056	0.0282650440833999	6.01721334823251
"UP00213_1_Hoxa9_2622.2"	0	0.365432051363672	4.71184023667612
