"  "	" "
"MA0765.1.ETV5"	-15.2586002623186	-15.2586002623186
"MA0076.2.ELK4"	-14.6594800971329	-14.6594800971329
"MA0095.2.YY1"	-10.4358055141481	-10.4358055141481
"MA0474.2.ERG"	-10.2356287236709	-10.2356287236709
"MA0475.2.FLI1"	-9.50426430827564	-9.50426430827564
"UP00049_1_Sp100_primary"	-8.03107633458275	-8.03107633458275
"MA0098.3.ETS1"	-7.92310020384649	-7.92310020384649
"MA0473.2.ELF1"	-6.50413703765383	-6.50413703765383
"MA0777.1.MYBL2"	-6.45542874746357	-6.45542874746357
"MA0029.1.Mecom"	-3.95280303995873	-3.95280303995873
"MA0867.1.SOX4"	-3.93801856721863	-3.93801856721863
"MA0731.1.BCL6B"	-3.46369093012506	-3.46369093012506
"MA0801.1.MGA"	-3.40199784567949	-3.40199784567949
"MA0497.1.MEF2C"	-3.27690570619974	-3.27690570619974
"MA0137.3.STAT1"	-1.83273312140959	-1.83273312140959
"MA0106.3.TP53"	-1.29373210812703	-1.29373210812703
"UP00009_1_Nr2f2_primary"	-0.864910432014381	-0.864910432014381
"MA0594.1.Hoxa9"	-0.609690436079288	-0.609690436079288
"MA0477.1.FOSL1"	-0.556580538217183	-0.556580538217183
"MA0489.1.JUN.var.2"	-0.507742622462009	-0.507742622462009
"UP00213_1_Hoxa9_2622.2"	-0.365432051363672	-0.365432051363672
"MA0481.1.FOXP1"	-0.320739006255353	-0.320739006255353
"MA0478.1.FOSL2"	-0.0756638457651087	-0.0756638457651087
"UP00148_1_Hdx_3845.3"	-0.0216615910387193	-0.0216615910387193
"MA0150.2.Nfe2l2"	-0.000173759497357997	-0.000173759497357997
"MA0139.1.CTCF"	0.166546885268916	0.166546885268916
"MA1099.1.Hes1"	7.79991263917958	7.79991263917958
"MA0746.1.SP3"	9.52051106788382	9.52051106788382
"MA0470.1.E2F4"	47.1529991417202	47.1529991417202
