TF	P_VALUE
"MA0765.1.ETV5"	-10.0462716812529
"MA0062.2.Gabpa"	-8.72707746340454
"MA0076.2.ELK4"	-8.24237510753234
"MA0761.1.ETV1"	-6.5563071113813
"MA0763.1.ETV3"	-6.52525736944275
"MA0028.2.ELK1"	-6.43508618525467
"MA0764.1.ETV4"	-6.39015630041644
"MA0759.1.ELK3"	-5.64451805995172
"MA0506.1.NRF1"	-4.82073553566097
"MA0645.1.ETV6"	-4.59515318262428
"MA0750.1.ZBTB7A"	-4.58526855951485
"MA0475.2.FLI1"	-4.58143386764964
"MA0156.2.FEV"	-4.54269927627424
"MA0103.2.ZEB1"	-4.32802434514818
"MA0098.3.ETS1"	-4.22358568909568
"MA0473.2.ELF1"	-4.14336506457824
"MA0810.1.TFAP2A.var.2"	-3.95434764722603
"MA0088.2.ZNF143"	-3.58899893490336
"UP00028_1_Tcfap2e_primary"	-3.37733569731004
"MA0474.2.ERG"	-3.3173134638607
"UP00087_1_Tcfap2c_primary"	-3.15701970948817
"MA0641.1.ELF4"	-3.14722980775927
"UP00406_1_Spdef_primary"	-2.49329202896018
"MA0640.1.ELF3"	-2.00319474970134
"MA0870.1.Sox1"	-1.97481312469463
"UP00408_1_Gabpa_primary"	-1.55015936059185
"MA0865.1.E2F8"	-1.20628392124734
"MA0864.1.E2F2"	-1.20004979806287
"UP00114_1_Homez_1063.2"	-1.15421237909362
"MA0009.2.T"	-1.10208552422604
"MA0760.1.ERF"	-0.954058365203492
"MA0469.2.E2F3"	0.242389997935715
"MA0869.1.Sox11"	0.350287675568251
"MA0631.1.Six3"	0.508046427283061
"UP00195_1_Six3_1732.2"	0.749176121823305
"MA0258.2.ESR2"	1.35612488566694
"MA0762.1.ETV2"	1.66708272493394
"Ash2l_hand"	1.99448991948565
"MA0592.2.Esrra"	2.11498128469937
"UP00075_1_Sox15_primary"	2.37385733849904
"MA0081.1.SPIB"	2.40822391671634
"MA0891.1.GSC2"	2.42644444058021
"UP00216_1_Obox1_3970.2"	2.45542070897229
"UP00122_1_Tgif1_2342.2"	2.49811603824766
"MA0471.1.E2F6"	2.51191336262078
"MA0797.1.TGIF2"	2.56846383557253
"UP00044_1_Mafk_primary"	2.58817147749899
"UP00179_1_Pou2f3_3986.2"	2.68690206110079
"UP00219_1_Cutl1_3494.1"	2.71332980211357
"UP00210_1_Mrg2_2302.1"	2.72794414914763
"MA0141.3.ESRRB"	2.75998573074094
"UP00053_1_Rxra_primary"	2.84224218219331
"MA0842.1.NRL"	2.84959646519628
"UP00070_1_Gcm1_primary"	2.89693275736084
"UP00041_1_Foxj1_primary"	2.94099678162131
"MA0515.1.Sox6"	2.94240879555402
"MA0595.1.SREBF1"	2.96997763484749
"MA0627.1.Pou2f3"	2.97950786389623
"UP00193_1_Rhox11_1765.2"	3.01489646539809
"MA0051.1.IRF2"	3.03814043723801
"MA0501.1.MAF::NFE2"	3.04688991069971
"UP00061_1_Foxl1_primary"	3.0742767596439
"MA0715.1.PROP1"	3.163523971105
"UP00023_1_Sox30_primary"	3.16660301463032
"MA0779.1.PAX1"	3.18031921875986
"MA0643.1.Esrrg"	3.19671242013974
"MA0795.1.SMAD3"	3.20782106325272
"UP00100_1_Gata6_primary"	3.21378823294864
"UP00211_1_Pou3f3_3235.2"	3.23758404254095
"UP00077_1_Srf_primary"	3.23795947002102
"MA0860.1.Rarg.var.2"	3.25367966660949
"MA0852.1.Foxk1"	3.27083481428632
"MA0690.1.TBX21"	3.30613241167036
"MA0744.1.SCRT2"	3.312356615318
"MA0833.1.ATF4"	3.32277641745173
"MA0071.1.RORA"	3.34884735261752
"MA0142.1.Pou5f1::Sox2"	3.35161626786943
"MA0883.1.Dmbx1"	3.36037408075919
"UP00407_1_Elf3_primary"	3.3676904744574
"MA0485.1.Hoxc9"	3.41210101767734
"UP00095_1_Zfp691_primary"	3.41739126931227
"MA0796.1.TGIF1"	3.41961974781702
"UP00078_1_Arid3a_primary"	3.42421215877485
"UP00160_1_Obox3_3439.1"	3.42650881620322
"MA0838.1.CEBPG"	3.44377463579161
"MA0462.1.BATF::JUN"	3.46181599914173
"UP00045_1_Mafb_primary"	3.49811202861673
"UP00112_1_Gsc_2327.3"	3.50130480387975
"UP00080_1_Gata5_primary"	3.54516750144321
"UP00185_1_Pbx1_3203.1"	3.55687788765155
"MA0841.1.NFE2"	3.58823641973197
"MA0130.1.ZNF354C"	3.63865551094025
"MA0484.1.HNF4G"	3.65255382864697
"MA0805.1.TBX1"	3.68587076608684
"MA0019.1.Ddit3::Cebpa"	3.72758802157538
"MA0683.1.POU4F2"	3.78346464258164
"MA0111.1.Spz1"	3.80090343633151
"MA0047.2.Foxa2"	3.80967031151725
"MA0514.1.Sox3"	3.93402270010892
"MA0014.2.PAX5"	3.94783083935009
"MA0035.3.Gata1"	3.94798999767527
"UP00012_1_Bbx_primary"	3.95868628465414
"MA0481.1.FOXP1"	3.97976596822775
"UP00111_1_Dmbx1_2277.1"	3.9953670323369
"MA0687.1.SPIC"	4.04251535864498
"UP00226_1_Mrg1_2246.2"	4.08239560718403
"UP00025_1_Foxk1_primary"	4.12575548089499
"MA0769.1.Tcf7"	4.18244731600909
"MA0078.1.Sox17"	4.18513177357398
"MA0859.1.Rarg"	4.20864412087599
"MA0868.1.SOX8"	4.28943418019936
"MA0597.1.THAP1"	4.29713477353966
"MA0866.1.SOX21"	4.30002626940814
"MA0783.1.PKNOX2"	4.35387287045136
"MA0801.1.MGA"	4.36847823877271
"MA0856.1.RXRG"	4.37373236582317
"MA0148.3.FOXA1"	4.39022426493706
"UP00052_1_Osr2_primary"	4.41381790417967
"MA0150.2.Nfe2l2"	4.42229709952421
"UP00135_1_Hoxc12_3480.1"	4.42555200956456
"MA0910.1.Hoxd8"	4.4276165670448
"MA0483.1.Gfi1b"	4.49742229991402
"UP00033_1_Zfp410_primary"	4.54248057505435
"UP00265_1_Pitx3_3497.2"	4.54760811312129
"IRF8_IECS_HAND_KANO"	4.55421954025605
"MA0074.1.RXRA::VDR"	4.57449107963166
"UP00157_1_Hmx3_3490.2"	4.60193435996192
"MA0036.2.GATA2"	4.70737984214862
"MA0513.1.SMAD2::SMAD3::SMAD4"	4.76979654528204
"UP00239_1_Obox2_3438.2"	4.79372221018778
"E2A-Homer"	4.83902355426249
"UP00079_1_Esrra_primary"	4.85383328754606
"MA0030.1.FOXF2"	4.86530287495578
"MA0488.1.JUN"	4.88307705804947
"MA0770.1.HSF2"	4.926575560383
"UP00019_1_Zbtb12_primary"	4.94096752071386
"MA0490.1.JUNB"	5.05482202652841
"MA0768.1.LEF1"	5.09503110068613
"MA0113.3.NR3C1"	5.19110080817405
"MA0648.1.GSC"	5.19322158083691
"UP00030_1_Sox11_primary"	5.23591134969933
"MA0478.1.FOSL2"	5.27294698864614
"UP00258_1_Tgif2_3451.1"	5.30793889489314
"MA0727.1.NR3C2"	5.31474157746367
"MA0607.1.Bhlha15"	5.34105082314641
"MA0512.2.Rxra"	5.3729303242371
"MA0629.1.Rhox11"	5.41540247555992
"MA0105.4.NFKB1"	5.48474199698148
"MA0691.1.TFAP4"	5.523210524906
"UP00089_1_Tcf1_primary"	5.58002645000694
"UP00153_1_Pitx1_2312.1"	5.60662710294443
"MA0057.1.MZF1.var.2"	5.62990962163826
"MA0771.1.HSF4"	5.6325359661748
"MA0486.2.HSF1"	5.63662081209761
"UP00027_1_Osr1_primary"	5.67226130721389
"MA0593.1.FOXP2"	5.72628603628527
"MA0442.1.SOX10"	5.72934445104702
"MA0160.1.NR4A2"	5.81503405730874
"MA0519.1.Stat5a::Stat5b"	5.89825165407166
"MA0069.1.Pax6"	5.97017120881706
"UP00067_1_Lef1_primary"	5.982451756572
"MA0477.1.FOSL1"	5.98602582297908
"MA0667.1.MYF6"	6.00806193303107
"UP00043_1_Bcl6b_primary"	6.01485922195343
"UP00168_1_Hoxd8_2644.1"	6.02069149252979
"MA0503.1.Nkx2-5.var.2"	6.06325101009651
"MA0659.1.MAFG"	6.10929177047569
"MA0665.1.MSC"	6.14015975078726
"MA0517.1.STAT1::STAT2"	6.16915018641209
"MA0117.2.Mafb"	6.23702065908442
"MA0677.1.Nr2f6"	6.27587958766628
"UP00024_1_Glis2_primary"	6.31902371243685
"MA0491.1.JUND"	6.39439331556991
"MA0476.1.FOS"	6.49055552338754
"UP00055_1_Hbp1_primary"	6.56836450018493
"MA0504.1.NR2C2"	6.63494069319179
"MA0091.1.TAL1::TCF3"	6.66608838330202
"MA0479.1.FOXH1"	6.71537043180764
"MA0154.3.EBF1"	6.82425197305005
"UP00058_1_Tcf3_primary"	6.86444998120856
"UP00062_1_Sox4_primary"	6.93618181486849
"MA0698.1.ZBTB18"	6.99591860362192
"MA0143.3.Sox2"	7.09456568466197
"MA0499.1.Myod1"	7.22988486596675
"MA0159.1.RARA::RXRA"	7.46327839017631
"MA0518.1.Stat4"	7.5184646128334
"UP00186_1_Meis1_2335.1"	7.57991245174192
"MA0857.1.Rarb"	7.61494102418507
"MA0066.1.PPARG"	7.62115620400324
"MA0816.1.Ascl2"	7.66673891950275
"UP00032_1_Gata3_primary"	7.78013100573951
"MA0007.3.Ar"	7.87465986527877
"UP00036_1_Myf6_primary"	7.92012311069314
"MA0072.1.RORA.var.2"	7.92848965606928
"MA0114.3.Hnf4a"	7.93704603052363
"MA0778.1.NFKB2"	7.94845564129825
"MA0115.1.NR1H2::RXRA"	8.03335711233903
"MA0511.2.RUNX2"	8.25475214589515
"MA0092.1.Hand1::Tcf3"	8.26407080055787
"MA0606.1.NFAT5"	8.38849967601051
"MA0492.1.JUND.var.2"	8.39540449491547
"MA0083.3.SRF"	8.46123350954836
"MA0500.1.Myog"	8.47728004289706
"MA0496.1.MAFK"	8.52270979990106
"MA0505.1.Nr5a2"	8.64790107610945
"MA0065.2.Pparg::Rxra"	8.67885600755317
"UP00031_1_Zbtb3_primary"	8.68336371857351
"Ikaros2_M00087"	8.69404013067587
"MA0730.1.RARA.var.2"	8.69859077406227
"MA0867.1.SOX4"	8.76838976156803
"MA0858.1.Rarb.var.2"	8.79005562176192
"MA0137.3.STAT1"	8.84291953891244
"MA0624.1.NFATC1"	8.93758410948238
"MA0729.1.RARA"	8.94962056487615
"UP00009_1_Nr2f2_primary"	9.14997589352761
"MA0521.1.Tcf12"	9.26424654420729
"Ikaros3_M00088"	9.30295445629848
"UP00048_1_Rara_primary"	9.30535609531298
"MA0138.2.REST"	9.38946469907486
"MA0520.1.Stat6"	9.45075805708811
"MA0017.2.NR2F1"	9.90650823900855
"MA0144.2.STAT3"	9.98178477612061
"MA0728.1.Nr2f6.var.2"	10.0065661768471
"MA0463.1.Bcl6"	10.0734745305088
"MA0684.1.RUNX3"	10.2445493978778
"UP00054_1_Tcf7_primary"	10.2511168549901
"MA0625.1.NFATC3"	10.2965220272367
"UP00099_1_Ascl2_primary"	10.372909113302
"UP00086_1_Irf3_primary"	10.4257544880363
"MA0832.1.Tcf21"	10.5585829079408
"IRF8_AICS"	11.0404060283906
"UP00000_1_Smad3_primary"	11.1844492612516
"MA0591.1.Bach1::Mafk"	11.3446677100014
"MA0523.1.TCF7L2"	11.4248878711307
"Ikaros1_M00086"	11.4587632572799
"UP00083_1_Tcf7l2_primary"	11.5244248085727
"MA0101.1.REL"	12.2379010105026
"MA0489.1.JUN.var.2"	12.2665379040498
"UP00066_1_Hnf4a_primary"	12.4337364291625
"BCL11A_MEME_motif1"	12.9707968242803
"MA0073.1.RREB1"	12.9970374623729
"MA0149.1.EWSR1-FLI1"	13.0547522856827
"MA0480.1.Foxo1"	13.400571913425
"MA0731.1.BCL6B"	13.9134378044542
"MA0050.2.IRF1"	14.9509918067732
"MA0508.1.PRDM1"	16.5518540333021
"MA0808.1.TEAD3"	17.6502490977612
"MA0495.1.MAFF"	18.0010279995976
"MA0107.1.RELA"	20.7120112174602
"MA0090.2.TEAD1"	22.1341647836701
"MA0002.2.RUNX1"	22.8599874941859
"MA0809.1.TEAD4"	26.6998914604108
"MA0528.1.ZNF263"	27.8384027677925
