TF	P_VALUE
"MA0039.2.Klf4"	-12.3453903426409
"klf4_homer"	-12.3453903426409
"MA0732.1.EGR3"	-12.3450644995731
"UP00007_1_Egr1_primary"	-12.3449949547336
"UP00001_1_E2F2_primary"	-12.3449906078113
"MA0824.1.ID4"	-12.3432832540709
"MA0162.2.EGR1"	-12.3432090585961
"UP00391_1_Hoxa3_primary"	-12.334541925448
"MA0608.1.Creb3l2"	-12.3299941570827
"MA0749.1.ZBED1"	-12.3167960891036
"MA0830.1.TCF4"	-12.2895224766776
"UP00236_1_Irx2_0900.3"	-12.2895027196299
"UP00242_1_Hoxc8_3429.2"	-12.2843351480939
"MA0158.1.HOXA5"	-12.2672692173666
"UP00189_1_Hoxa5_3415.1"	-12.2498949091
"UP00174_1_Hoxa2_3079.1"	-12.2374125568853
"MA0823.1.HEY1"	-12.2228595953279
"MA0745.1.SNAI2"	-12.1114907423147
"MA0900.1.HOXA2"	-12.0730129206102
"MA0139.1.CTCF"	-11.9716177582299
"MA0735.1.GLIS1"	-11.8117537109024
"MA0840.1.Creb5"	-11.7162733594192
"UP00260_1_Hoxc6_3954.2"	-11.6103497603323
"UP00182_1_Hoxa6_1040.1"	-11.5117908512171
"MA0774.1.MEIS2"	-11.1816574772023
"MA0029.1.Mecom"	-11.1787860982672
"MA0670.1.NFIA"	-10.741188348812
"UP00263_1_Hoxb8_3780.2"	-10.5690160593462
"UP00205_1_Pknox2_3077.2"	-10.5111686739478
"MA0864.1.E2F2"	-10.4879987781573
"MA0024.3.E2F1"	-10.4450709837656
"MA0106.3.TP53"	-9.99095014959151
"MA0734.1.GLI2"	-9.94618905027367
"MA0777.1.MYBL2"	-9.75966157081284
"UP00148_1_Hdx_3845.3"	-9.74322610820587
"MA0806.1.TBX4"	-9.59612741065459
"MA0865.1.E2F8"	-9.43434107701852
"MA0070.1.PBX1"	-9.42515026246399
"MA0497.1.MEF2C"	-9.37857275655156
"MA0797.1.TGIF2"	-9.29695126667031
"UP00185_1_Pbx1_3203.1"	-8.78851245569594
"MA0869.1.Sox11"	-8.18318704363579
"MA0783.1.PKNOX2"	-7.75867334584181
"MA0036.2.GATA2"	-7.60684355612097
"MA0490.1.JUNB"	-7.29056833835648
"UP00030_1_Sox11_primary"	-7.02506352377274
"MA0769.1.Tcf7"	-6.87461536623348
"MA0691.1.TFAP4"	-6.75882430669891
"MA0593.1.FOXP2"	-6.50169727893512
"MA0476.1.FOS"	-5.85483542591854
"UP00258_1_Tgif2_3451.1"	-5.66858147524479
"MA0160.1.NR4A2"	-5.64958014546129
"UP00062_1_Sox4_primary"	-5.32479507345405
"MA0007.3.Ar"	-3.89836883462864
"MA0521.1.Tcf12"	-2.94473998531926
"MA0867.1.SOX4"	-2.42450444881021
"UP00054_1_Tcf7_primary"	-2.04347739794544
"MA0523.1.TCF7L2"	-0.454029771826566
"MA0017.2.NR2F1"	-0.421932485572418
"UP00083_1_Tcf7l2_primary"	-0.301029995663981
"MA0103.2.ZEB1"	7.10015140229422
"MA0098.3.ETS1"	7.2239638627198
"MA0750.1.ZBTB7A"	7.69561898114876
"MA0810.1.TFAP2A.var.2"	8.36884858214193
"MA0003.3.TFAP2A"	9.88588249100258
"MA0066.1.PPARG"	10.4112313769773
"MA0737.1.GLIS3"	10.4813811895767
"MA0620.1.Mitf"	10.7201386886591
"MA0831.1.TFE3"	11.1622676998411
"UP00153_1_Pitx1_2312.1"	11.313480847954
"MA0778.1.NFKB2"	11.3599108814006
"MA0771.1.HSF4"	11.3629245020798
"MA0727.1.NR3C2"	11.3658759284392
"MA0464.2.BHLHE40"	11.4040820254617
"MA0071.1.RORA"	11.4985952427264
"MA0682.1.Pitx1"	11.7902155421512
"MA0872.1.TFAP2A.var.3"	11.7902155421512
"UP00044_1_Mafk_primary"	11.9102693601427
"MA0147.2.Myc"	11.9659427873706
"MA0835.1.BATF3"	11.9829801284799
"UP00049_1_Sp100_primary"	11.9831901717612
"MA0137.3.STAT1"	12.1204689731708
"UP00091_1_Sox5_primary"	12.1768953867045
"MA0605.1.Atf3"	12.235587728851
"MA0720.1.Shox2"	12.26804834225
"UP00156_1_Msx2_3449.1"	12.26804834225
"MA0087.1.Sox5"	12.2869415258115
"MA0708.1.MSX2"	12.2886572642271
"MA0606.1.NFAT5"	12.2887908666551
"MA0072.1.RORA.var.2"	12.3023699152321
"MA0599.1.KLF5"	12.3294358394924
"MA0688.1.TBX2"	12.3325469509103
"MA0684.1.RUNX3"	12.335724756767
"MA0495.1.MAFF"	12.340911465122
"MA0496.1.MAFK"	12.3426805948844
"MA0032.2.FOXC1"	12.3434534193387
"MA0477.1.FOSL1"	12.3453903426409
"UP00257_1_Shox2_2641.2"	12.3453903426409
