"HMGB1"	"HMGB2"
"Ash2l_hand"	26.1042184530013	8.68597649812824e-06
"MA0029.1.Mecom"	0	4.94404859467085
"MA0036.2.GATA2"	0	5.62714320746477
"MA0076.2.ELK4"	0.702808710968012	19.4974772911217
"MA0083.3.SRF"	0	3.92009553233328
"MA0095.2.YY1"	6.85974343032258	11.1988158940487
"MA0098.3.ETS1"	0	12.3216364285518
"MA0106.3.TP53"	0	5.05880670270216
"MA0137.3.STAT1"	0	11.9806344254275
"MA0144.2.STAT3"	0	8.28101695122657
"MA0470.1.E2F4"	145.956127087609	0
"MA0473.2.ELF1"	0	7.01040336578038
"MA0474.2.ERG"	0	13.7775696853395
"MA0475.2.FLI1"	0	13.5437098991173
"MA0477.1.FOSL1"	0	16.6709277092453
"MA0478.1.FOSL2"	0	11.2443537805433
"MA0481.1.FOXP1"	0	5.43025165821873
"MA0488.1.JUN"	0	9.93278031102586
"MA0489.1.JUN.var.2"	0	15.850196061773
"MA0497.1.MEF2C"	0	6.02266514792629
"MA0594.1.Hoxa9"	0	4.98897964448374
"MA0637.1.CENPB"	7.67579988321462	0.000147685231759451
"MA0731.1.BCL6B"	0	3.95502929470723
"MA0746.1.SP3"	145.655097091945	0
"MA0765.1.ETV5"	0.00247382499010026	10.3480729682874
"MA0777.1.MYBL2"	0	5.9042032063952
"MA0833.1.ATF4"	0	8.04724144970953
"MA0867.1.SOX4"	0	12.2847573374988
"MA1099.1.Hes1"	54.7769715730278	0.821253203471042
"UP00000_1_Smad3_primary"	0	3.36801876912376
"UP00009_1_Nr2f2_primary"	0	4.63498025718347
"UP00049_1_Sp100_primary"	0.00103920615837085	9.44597142417913
"UP00062_1_Sox4_primary"	0	4.14144475732817
