X	with_NFKB1
-150	0.079420696099
-149	0.0850268628825
-148	0.0791871058164
-147	0.0815230086428
-146	0.0787199252511
-145	0.0829245503387
-144	0.0934361130577
-143	0.0777855641205
-142	0.0780191544032
-141	0.0838589114693
-140	0.0817565989255
-139	0.0787199252511
-138	0.089932258818
-137	0.0929689324924
-136	0.0882971268395
-135	0.0955384256015
-134	0.0932025227751
-133	0.0932025227751
-132	0.0929689324924
-131	0.0777855641205
-130	0.0875963559916
-129	0.0847932725999
-128	0.0913338005139
-127	0.0831581406214
-126	0.0831581406214
-125	0.0766176127073
-124	0.100210231254
-123	0.107451530016
-122	0.0885307171222
-121	0.0892314879701
-120	0.0868955851437
-119	0.0836253211866
-118	0.0847932725999
-117	0.0819901892081
-116	0.0875963559916
-115	0.0992758701238
-114	0.0864284045784
-113	0.0922681616445
-112	0.0920345713618
-111	0.0925017519271
-110	0.0936697033403
-109	0.0953048353189
-108	0.102546134081
-107	0.0864284045784
-106	0.0950712450362
-105	0.0948376547536
-104	0.0908666199486
-103	0.0983415089932
-102	0.0969399672974
-101	0.0960056061668
-100	0.0995094604064
-99	0.0913338005139
-98	0.0950712450362
-97	0.0957720158841
-96	0.0992758701238
-95	0.103246904929
-94	0.0999766409717
-93	0.0974071478626
-92	0.102078953516
-91	0.0953048353189
-90	0.102546134081
-89	0.104882036907
-88	0.090633029666
-87	0.0960056061668
-86	0.105582807755
-85	0.106517168886
-84	0.100210231254
-83	0.0913338005139
-82	0.0992758701238
-81	0.112356925952
-80	0.103947675777
-79	0.0997430506891
-78	0.0960056061668
-77	0.093903293623
-76	0.108152300864
-75	0.116094370474
-74	0.0948376547536
-73	0.0999766409717
-72	0.0997430506891
-71	0.109320252278
-70	0.105349217473
-69	0.0953048353189
-68	0.0946040644709
-67	0.0950712450362
-66	0.114225648213
-65	0.118196683018
-64	0.102546134081
-63	0.105816398038
-62	0.103246904929
-61	0.103947675777
-60	0.102078953516
-59	0.108853071712
-58	0.0992758701238
-57	0.0976407381453
-56	0.110488203691
-55	0.106750759168
-54	0.112824106517
-53	0.109320252278
-52	0.110488203691
-51	0.104882036907
-50	0.103246904929
-49	0.106283578603
-48	0.10955384256
-47	0.0990422798412
-46	0.103947675777
-45	0.107451530016
-44	0.105582807755
-43	0.127306704041
-42	0.110254613408
-41	0.115627189909
-40	0.111889745387
-39	0.121466946975
-38	0.11399205793
-37	0.117963092735
-36	0.116327960757
-35	0.10067741182
-34	0.111422564821
-33	0.1130576968
-32	0.115160009344
-31	0.138051857043
-30	0.119131044149
-29	0.114926419061
-28	0.116327960757
-27	0.118430273301
-26	0.123102078954
-25	0.119831814996
-24	0.118897453866
-23	0.137351086195
-22	0.127540294324
-21	0.126605933193
-20	0.113758467648
-19	0.109787432843
-18	0.115160009344
-17	0.125905162345
-16	0.141555711282
-15	0.141789301565
-14	0.130343377715
-13	0.131744919411
-12	0.123802849801
-11	0.105582807755
-10	0.114225648213
-9	0.122167717823
-8	0.101378182668
-7	0.109086661995
-6	0.116795141322
-5	0.120298995562
-4	0.134548002803
-3	0.167250642373
-2	0.130109787433
-1	0.0642373277272
0	0.024293389395
1	0.0520906330297
2	0.113524877365
3	0.164914739547
4	0.13688390563
5	0.127773884606
6	0.120298995562
7	0.100210231254
8	0.114692828778
9	0.126605933193
10	0.105349217473
11	0.100210231254
12	0.121233356692
13	0.124970801215
14	0.123802849801
15	0.134548002803
16	0.133613641673
17	0.124970801215
18	0.111188974539
19	0.10511562719
20	0.124737210932
21	0.118430273301
