X	wo_NFKB1
-150	0.0555165144062
-149	0.0558678847505
-148	0.0439212930429
-147	0.0572733661279
-146	0.0544624033732
-145	0.0527055516514
-144	0.0621925509487
-143	0.0572733661279
-142	0.0635980323261
-141	0.062543921293
-140	0.0534082923401
-139	0.0544624033732
-138	0.0523541813071
-137	0.059381588194
-136	0.0562192550949
-135	0.0646521433591
-134	0.0548137737175
-133	0.0667603654252
-132	0.0583274771609
-131	0.0600843288826
-130	0.06148981026
-129	0.0558678847505
-128	0.0520028109628
-127	0.0548137737175
-126	0.0607870695713
-125	0.0544624033732
-124	0.0586788475053
-123	0.0650035137034
-122	0.0643007730148
-121	0.0586788475053
-120	0.060435699227
-119	0.0583274771609
-118	0.0646521433591
-117	0.06148981026
-116	0.0671117357695
-115	0.0664089950808
-114	0.0621925509487
-113	0.048137737175
-112	0.0755446240337
-111	0.0607870695713
-110	0.0646521433591
-109	0.06148981026
-108	0.062543921293
-107	0.0632466619817
-106	0.0639494026704
-105	0.0628952916374
-104	0.0600843288826
-103	0.0643007730148
-102	0.0632466619817
-101	0.0600843288826
-100	0.073787772312
-99	0.0741391426564
-98	0.0653548840478
-97	0.0780042164441
-96	0.0523541813071
-95	0.0632466619817
-94	0.0713281799016
-93	0.0688685874912
-92	0.0611384399157
-91	0.0632466619817
-90	0.0720309205903
-89	0.0699226985242
-88	0.0678144764582
-87	0.0755446240337
-86	0.0734364019677
-85	0.0688685874912
-84	0.0741391426564
-83	0.0685172171469
-82	0.0628952916374
-81	0.0653548840478
-80	0.0790583274772
-79	0.0744905130007
-78	0.0695713281799
-77	0.073787772312
-76	0.0804638088545
-75	0.0797610681658
-74	0.0720309205903
-73	0.0723822909346
-72	0.083977512298
-71	0.0720309205903
-70	0.0769501054111
-69	0.0765987350668
-68	0.0671117357695
-67	0.0702740688686
-66	0.0938158819396
-65	0.0818692902319
-64	0.0730850316233
-63	0.0681658468025
-62	0.0713281799016
-61	0.0621925509487
-60	0.0758959943781
-59	0.0695713281799
-58	0.0720309205903
-57	0.0685172171469
-56	0.083977512298
-55	0.072733661279
-54	0.0818692902319
-53	0.0685172171469
-52	0.0713281799016
-51	0.0685172171469
-50	0.074841883345
-49	0.0780042164441
-48	0.0783555867885
-47	0.072733661279
-46	0.0797610681658
-45	0.074841883345
-44	0.0773014757554
-43	0.0765987350668
-42	0.0825720309206
-41	0.0787069571328
-40	0.0723822909346
-39	0.0607870695713
-38	0.0790583274772
-37	0.0765987350668
-36	0.0797610681658
-35	0.0917076598735
-34	0.0867884750527
-33	0.0681658468025
-32	0.0723822909346
-31	0.0635980323261
-30	0.0660576247365
-29	0.074841883345
-28	0.0685172171469
-27	0.0783555867885
-26	0.0797610681658
-25	0.0811665495432
-24	0.0706254392129
-23	0.0938158819396
-22	0.105059732959
-21	0.0857343640197
-20	0.0787069571328
-19	0.0671117357695
-18	0.0685172171469
-17	0.0801124385102
-16	0.0846802529866
-15	0.0903021784961
-14	0.0832747716093
-13	0.0790583274772
-12	0.0734364019677
-11	0.0730850316233
-10	0.0853829936753
-9	0.0920590302178
-8	0.0794096978215
-7	0.0695713281799
-6	0.0874912157414
-5	0.0699226985242
-4	0.104005621926
-3	0.101194659171
-2	0.0643007730148
-1	0.0435699226985
0	0.0196767392832
1	0.0449754040759
2	0.0758959943781
3	0.0913562895292
4	0.098383696416
5	0.0751932536894
6	0.0917076598735
7	0.0657062543921
8	0.0790583274772
9	0.0885453267744
10	0.071679550246
11	0.0723822909346
12	0.0741391426564
13	0.074841883345
14	0.0857343640197
15	0.102951510892
16	0.0895994378074
17	0.0808151791989
18	0.0657062543921
19	0.0667603654252
20	0.072733661279
21	0.0818692902319
22	0.0885453267744
23	0.0815179198876
24	0.087139845397
25	0.073787772312
26	0.071679550246
27	0.0751932536894
28	0.0797610681658
29	0.0808151791989
30	0.0853829936753
31	0.0790583274772
32	0.0836261419536
33	0.0688685874912
34	0.0762473647224
35	0.0797610681658
36	0.0780042164441
37	0.0794096978215
38	0.0741391426564
39	0.085031623331
40	0.0903021784961
41	0.0825720309206
42	0.0822206605762
43	0.0818692902319
44	0.0702740688686
45	0.074841883345
46	0.0808151791989
47	0.0758959943781
48	0.087139845397
49	0.0723822909346
50	0.0811665495432
51	0.0903021784961
52	0.0706254392129
53	0.0787069571328
54	0.0787069571328
55	0.0720309205903
56	0.072733661279
57	0.0822206605762
58	0.0751932536894
59	0.0794096978215
60	0.083977512298
61	0.0762473647224
