X	with_clust1_NFKB1	wo_clust1_NFKB1
-150	0.0727699530516	0.0898876404494
-149	0.0727699530516	0.0140449438202
-148	0.0798122065728	0.0337078651685
-147	0.075117370892	0.0702247191011
-146	0.056338028169	0.0280898876404
-145	0.0586854460094	0.0393258426966
-144	0.0469483568075	0.0814606741573
-143	0.0657276995305	0.0477528089888
-142	0.0892018779343	0.064606741573
-141	0.093896713615	0.0702247191011
-140	0.0798122065728	0.061797752809
-139	0.100938967136	0.061797752809
-138	0.0845070422535	0.0421348314607
-137	0.107981220657	0.0477528089888
-136	0.0915492957746	0.0280898876404
-135	0.110328638498	0.0337078651685
-134	0.0915492957746	0.0252808988764
-133	0.0657276995305	0.0505617977528
-132	0.0845070422535	0.061797752809
-131	0.0774647887324	0.0589887640449
-130	0.115023474178	0.0224719101124
-129	0.110328638498	0.0561797752809
-128	0.115023474178	0.0308988764045
-127	0.0774647887324	0.0393258426966
-126	0.117370892019	0.0421348314607
-125	0.0868544600939	0.0280898876404
-124	0.119718309859	0.0280898876404
-123	0.119718309859	0.0337078651685
-122	0.0704225352113	0.0421348314607
-121	0.0845070422535	0.0533707865169
-120	0.100938967136	0.0449438202247
-119	0.0962441314554	0.0421348314607
-118	0.0985915492958	0.0308988764045
-117	0.0798122065728	0.0449438202247
-116	0.147887323944	0.0477528089888
-115	0.0892018779343	0.0505617977528
-114	0.100938967136	0.0393258426966
-113	0.0774647887324	0.0308988764045
-112	0.119718309859	0.0421348314607
-111	0.129107981221	0.0421348314607
-110	0.105633802817	0.0308988764045
-109	0.107981220657	0.0449438202247
-108	0.0915492957746	0.0477528089888
-107	0.056338028169	0.0337078651685
-106	0.0610328638498	0.0449438202247
-105	0.0845070422535	0.0393258426966
-104	0.119718309859	0.0477528089888
-103	0.0821596244131	0.0702247191011
-102	0.103286384977	0.0449438202247
-101	0.115023474178	0.0449438202247
-100	0.143192488263	0.0477528089888
-99	0.103286384977	0.0393258426966
-98	0.0985915492958	0.061797752809
-97	0.0985915492958	0.0533707865169
-96	0.0892018779343	0.0505617977528
-95	0.1220657277	0.0561797752809
-94	0.110328638498	0.0533707865169
-93	0.110328638498	0.0252808988764
-92	0.0704225352113	0.0421348314607
-91	0.103286384977	0.0561797752809
-90	0.100938967136	0.0589887640449
-89	0.0845070422535	0.0421348314607
-88	0.0962441314554	0.0280898876404
-87	0.112676056338	0.0702247191011
-86	0.164319248826	0.0533707865169
-85	0.100938967136	0.0505617977528
-84	0.131455399061	0.061797752809
-83	0.0985915492958	0.061797752809
-82	0.0586854460094	0.0449438202247
-81	0.147887323944	0.0365168539326
-80	0.0727699530516	0.0505617977528
-79	0.0985915492958	0.0421348314607
-78	0.12441314554	0.0561797752809
-77	0.105633802817	0.0337078651685
-76	0.103286384977	0.061797752809
-75	0.0727699530516	0.0561797752809
-74	0.0798122065728	0.0533707865169
-73	0.105633802817	0.0393258426966
-72	0.110328638498	0.061797752809
-71	0.136150234742	0.0505617977528
-70	0.0985915492958	0.0505617977528
-69	0.105633802817	0.0393258426966
-68	0.093896713615	0.0533707865169
-67	0.112676056338	0.0449438202247
-66	0.0868544600939	0.0814606741573
-65	0.105633802817	0.0786516853933
-64	0.12441314554	0.0533707865169
-63	0.112676056338	0.0337078651685
-62	0.110328638498	0.0337078651685
-61	0.0845070422535	0.0477528089888
-60	0.0892018779343	0.061797752809
-59	0.0915492957746	0.0674157303371
-58	0.0962441314554	0.0421348314607
-57	0.117370892019	0.0505617977528
-56	0.119718309859	0.0870786516854
-55	0.0868544600939	0.064606741573
-54	0.0962441314554	0.0505617977528
-53	0.0845070422535	0.0421348314607
-52	0.0985915492958	0.0337078651685
-51	0.0798122065728	0.0365168539326
-50	0.0821596244131	0.0365168539326
-49	0.131455399061	0.0421348314607
-48	0.154929577465	0.0561797752809
-47	0.100938967136	0.0505617977528
-46	0.0892018779343	0.0421348314607
-45	0.107981220657	0.0758426966292
-44	0.119718309859	0.0449438202247
-43	0.180751173709	0.0477528089888
-42	0.119718309859	0.061797752809
-41	0.115023474178	0.0505617977528
-40	0.105633802817	0.0533707865169
-39	0.138497652582	0.0337078651685
-38	0.119718309859	0.0393258426966
-37	0.119718309859	0.0449438202247
-36	0.0915492957746	0.0505617977528
-35	0.0892018779343	0.0421348314607
-34	0.140845070423	0.0365168539326
-33	0.1220657277	0.061797752809
-32	0.1220657277	0.0421348314607
-31	0.154929577465	0.0224719101124
-30	0.157276995305	0.0505617977528
-29	0.103286384977	0.0533707865169
-28	0.138497652582	0.0477528089888
-27	0.0868544600939	0.0140449438202
-26	0.129107981221	0.0393258426966
-25	0.1220657277	0.0393258426966
-24	0.093896713615	0.0449438202247
-23	0.103286384977	0.0955056179775
-22	0.12441314554	0.0702247191011
-21	0.0985915492958	0.0421348314607
-20	0.0845070422535	0.0365168539326
-19	0.119718309859	0.0337078651685
-18	0.0892018779343	0.0533707865169
-17	0.112676056338	0.0393258426966
-16	0.119718309859	0.0842696629213
-15	0.157276995305	0.0786516853933
-14	0.112676056338	0.0477528089888
-13	0.103286384977	0.0730337078652
-12	0.138497652582	0.0393258426966
-11	0.0892018779343	0.0421348314607
-10	0.100938967136	0.0674157303371
-9	0.0985915492958	0.0589887640449
-8	0.0868544600939	0.0393258426966
-7	0.0915492957746	0.0393258426966
-6	0.112676056338	0.0449438202247
-5	0.103286384977	0.0505617977528
-4	0.107981220657	0.0870786516854
-3	0.136150234742	0.0561797752809
-2	0.12441314554	0.0477528089888
-1	0.0657276995305	0.0393258426966
0	0.0140845070423	0.0112359550562
1	0.0633802816901	0.0196629213483
2	0.105633802817	0.0533707865169
3	0.1220657277	0.0505617977528
4	0.140845070423	0.0758426966292
5	0.136150234742	0.0505617977528
6	0.0985915492958	0.0533707865169
7	0.0962441314554	0.0365168539326
8	0.100938967136	0.0561797752809
9	0.115023474178	0.0561797752809
10	0.0985915492958	0.064606741573
11	0.115023474178	0.0674157303371
12	0.1220657277	0.0337078651685
13	0.129107981221	0.0533707865169
14	0.131455399061	0.0702247191011
15	0.1220657277	0.0674157303371
16	0.140845070423	0.0477528089888
17	0.12676056338	0.0477528089888
18	0.107981220657	0.0477528089888
19	0.133802816901	0.0224719101124
20	0.197183098592	0.0393258426966
21	0.1220657277	0.061797752809
22	0.152582159624	0.0505617977528
23	0.147887323944	0.0702247191011
24	0.112676056338	0.064606741573
25	0.12441314554	0.0393258426966
