X	with_NFKB1	wo_NFKB1
-150	0.079420696099	0.0555165144062
-149	0.0850268628825	0.0558678847505
-148	0.0791871058164	0.0439212930429
-147	0.0815230086428	0.0572733661279
-146	0.0787199252511	0.0544624033732
-145	0.0829245503387	0.0527055516514
-144	0.0934361130577	0.0621925509487
-143	0.0777855641205	0.0572733661279
-142	0.0780191544032	0.0635980323261
-141	0.0838589114693	0.062543921293
-140	0.0817565989255	0.0534082923401
-139	0.0787199252511	0.0544624033732
-138	0.089932258818	0.0523541813071
-137	0.0929689324924	0.059381588194
-136	0.0882971268395	0.0562192550949
-135	0.0955384256015	0.0646521433591
-134	0.0932025227751	0.0548137737175
-133	0.0932025227751	0.0667603654252
-132	0.0929689324924	0.0583274771609
-131	0.0777855641205	0.0600843288826
-130	0.0875963559916	0.06148981026
-129	0.0847932725999	0.0558678847505
-128	0.0913338005139	0.0520028109628
-127	0.0831581406214	0.0548137737175
-126	0.0831581406214	0.0607870695713
-125	0.0766176127073	0.0544624033732
-124	0.100210231254	0.0586788475053
-123	0.107451530016	0.0650035137034
-122	0.0885307171222	0.0643007730148
-121	0.0892314879701	0.0586788475053
-120	0.0868955851437	0.060435699227
-119	0.0836253211866	0.0583274771609
-118	0.0847932725999	0.0646521433591
-117	0.0819901892081	0.06148981026
-116	0.0875963559916	0.0671117357695
-115	0.0992758701238	0.0664089950808
-114	0.0864284045784	0.0621925509487
-113	0.0922681616445	0.048137737175
-112	0.0920345713618	0.0755446240337
-111	0.0925017519271	0.0607870695713
-110	0.0936697033403	0.0646521433591
-109	0.0953048353189	0.06148981026
-108	0.102546134081	0.062543921293
-107	0.0864284045784	0.0632466619817
-106	0.0950712450362	0.0639494026704
-105	0.0948376547536	0.0628952916374
-104	0.0908666199486	0.0600843288826
-103	0.0983415089932	0.0643007730148
-102	0.0969399672974	0.0632466619817
-101	0.0960056061668	0.0600843288826
-100	0.0995094604064	0.073787772312
-99	0.0913338005139	0.0741391426564
-98	0.0950712450362	0.0653548840478
-97	0.0957720158841	0.0780042164441
-96	0.0992758701238	0.0523541813071
-95	0.103246904929	0.0632466619817
-94	0.0999766409717	0.0713281799016
-93	0.0974071478626	0.0688685874912
-92	0.102078953516	0.0611384399157
-91	0.0953048353189	0.0632466619817
-90	0.102546134081	0.0720309205903
-89	0.104882036907	0.0699226985242
-88	0.090633029666	0.0678144764582
-87	0.0960056061668	0.0755446240337
-86	0.105582807755	0.0734364019677
-85	0.106517168886	0.0688685874912
-84	0.100210231254	0.0741391426564
-83	0.0913338005139	0.0685172171469
-82	0.0992758701238	0.0628952916374
-81	0.112356925952	0.0653548840478
-80	0.103947675777	0.0790583274772
-79	0.0997430506891	0.0744905130007
-78	0.0960056061668	0.0695713281799
-77	0.093903293623	0.073787772312
-76	0.108152300864	0.0804638088545
-75	0.116094370474	0.0797610681658
-74	0.0948376547536	0.0720309205903
-73	0.0999766409717	0.0723822909346
-72	0.0997430506891	0.083977512298
-71	0.109320252278	0.0720309205903
-70	0.105349217473	0.0769501054111
-69	0.0953048353189	0.0765987350668
-68	0.0946040644709	0.0671117357695
-67	0.0950712450362	0.0702740688686
-66	0.114225648213	0.0938158819396
-65	0.118196683018	0.0818692902319
-64	0.102546134081	0.0730850316233
-63	0.105816398038	0.0681658468025
-62	0.103246904929	0.0713281799016
-61	0.103947675777	0.0621925509487
-60	0.102078953516	0.0758959943781
-59	0.108853071712	0.0695713281799
-58	0.0992758701238	0.0720309205903
-57	0.0976407381453	0.0685172171469
-56	0.110488203691	0.083977512298
-55	0.106750759168	0.072733661279
-54	0.112824106517	0.0818692902319
-53	0.109320252278	0.0685172171469
-52	0.110488203691	0.0713281799016
-51	0.104882036907	0.0685172171469
-50	0.103246904929	0.074841883345
-49	0.106283578603	0.0780042164441
-48	0.10955384256	0.0783555867885
-47	0.0990422798412	0.072733661279
-46	0.103947675777	0.0797610681658
-45	0.107451530016	0.074841883345
-44	0.105582807755	0.0773014757554
-43	0.127306704041	0.0765987350668
-42	0.110254613408	0.0825720309206
-41	0.115627189909	0.0787069571328
-40	0.111889745387	0.0723822909346
-39	0.121466946975	0.0607870695713
-38	0.11399205793	0.0790583274772
-37	0.117963092735	0.0765987350668
-36	0.116327960757	0.0797610681658
-35	0.10067741182	0.0917076598735
-34	0.111422564821	0.0867884750527
-33	0.1130576968	0.0681658468025
-32	0.115160009344	0.0723822909346
-31	0.138051857043	0.0635980323261
-30	0.119131044149	0.0660576247365
-29	0.114926419061	0.074841883345
-28	0.116327960757	0.0685172171469
-27	0.118430273301	0.0783555867885
-26	0.123102078954	0.0797610681658
-25	0.119831814996	0.0811665495432
-24	0.118897453866	0.0706254392129
-23	0.137351086195	0.0938158819396
-22	0.127540294324	0.105059732959
-21	0.126605933193	0.0857343640197
-20	0.113758467648	0.0787069571328
-19	0.109787432843	0.0671117357695
-18	0.115160009344	0.0685172171469
-17	0.125905162345	0.0801124385102
-16	0.141555711282	0.0846802529866
-15	0.141789301565	0.0903021784961
-14	0.130343377715	0.0832747716093
-13	0.131744919411	0.0790583274772
-12	0.123802849801	0.0734364019677
-11	0.105582807755	0.0730850316233
-10	0.114225648213	0.0853829936753
-9	0.122167717823	0.0920590302178
-8	0.101378182668	0.0794096978215
-7	0.109086661995	0.0695713281799
-6	0.116795141322	0.0874912157414
-5	0.120298995562	0.0699226985242
-4	0.134548002803	0.104005621926
-3	0.167250642373	0.101194659171
-2	0.130109787433	0.0643007730148
-1	0.0642373277272	0.0435699226985
0	0.024293389395	0.0196767392832
1	0.0520906330297	0.0449754040759
2	0.113524877365	0.0758959943781
3	0.164914739547	0.0913562895292
4	0.13688390563	0.098383696416
5	0.127773884606	0.0751932536894
6	0.120298995562	0.0917076598735
7	0.100210231254	0.0657062543921
8	0.114692828778	0.0790583274772
9	0.126605933193	0.0885453267744
10	0.105349217473	0.071679550246
11	0.100210231254	0.0723822909346
12	0.121233356692	0.0741391426564
13	0.124970801215	0.074841883345
14	0.123802849801	0.0857343640197
