id	baseMean	0.TNF.rnaseq.HG18	30.TNF.rnaseq.HG18	foldChange	log2FoldChange	pval	padj	pseudo.log2foldchange
A1BG	96.2567261137341	88.1723385590449	104.341113668423	1.18337695669204	0.242909707594694	0.604943645449676	1	0.240400459169739
A1BG-AS1	78.8897008214013	68.0460438879586	89.733357754844	1.31871527906302	0.399133109074398	0.43115187063675	1	0.394074294166087
A1CF	0	0	0	NA	NA	NA	NA	0
A2M	47.1699680725296	42.1693793108476	52.1705568342116	1.23716681835986	0.30704004501441	0.654181969551209	1	0.300619225389099
A2M-AS1	15.4077272474845	17.251109718074	13.564344776895	0.786288244557603	-0.346869809424238	0.816065656513432	1	-0.32554338777839
A2ML1	0	0	0	NA	NA	NA	NA	0
A2MP1	0	0	0	NA	NA	NA	NA	0
A4GALT	855.16932155695	868.305855809725	842.032787304175	0.969742149808434	-0.0443269028914726	0.826359020271359	1	-0.0442751212354313
A4GNT	0	0	0	NA	NA	NA	NA	0
AA06	0	0	0	NA	NA	NA	NA	0
AAAS	670.075662860531	677.585253926574	662.566071794487	0.977834254737613	-0.0323381492728885	0.884567275285383	1	-0.032289956717177
AACS	1422.67367475321	1447.17642634954	1398.17092315687	0.966137160403942	-0.0497000749903244	0.77839194389593	1	-0.0496651583542373
AACSP1	0	0	0	NA	NA	NA	NA	0
AADAC	0.521705568342116	0	1.04341113668423	Inf	Inf	0.989422678946879	1	1.03097950518751
AADACL2	0	0	0	NA	NA	NA	NA	0
AADACL3	0	0	0	NA	NA	NA	NA	0
AADACL4	0	0	0	NA	NA	NA	NA	0
AADAT	73.8117780207617	76.6715987469956	70.9519572945278	0.925400780133179	-0.111849779760041	0.853210229401678	1	-0.110353229019594
AAED1	227.780817034737	228.098006272312	227.463627797163	0.99721883375696	-0.00401796465403497	1	1	-0.00400040212468333
AAGAB	913.913436939614	920.059184963947	907.767688915282	0.986640537641992	-0.0194035309954457	0.925695361515993	1	-0.0193823223059226
AAK1	2608.04045493125	2575.20732291471	2640.87358694779	1.02549940870732	0.0363266599745005	0.819414968176815	1	0.0363127351246781
AAMDC	1073.12650451805	1012.06510346034	1134.18790557576	1.12066694296431	0.164357579545838	0.375128897032963	1	0.164204233700946
AAMP	1895.85755354041	2047.13168654478	1744.58342053604	0.852208693755604	-0.230721325729689	0.161800741371261	1	-0.230599173554813
AANAT	1.48010055267956	1.91678996867489	1.04341113668423	0.544353400078341	-0.877384526123018	1	1	-0.513401999642861
AAR2	453.33584988168	576.953780571142	329.717919192217	0.571480645929421	-0.807223454705617	0.000709281145546155	0.0961558263394012	-0.805352907085792
AARD	0	0	0	NA	NA	NA	NA	0
AARS	4182.22538239377	4193.93645146066	4170.51431332688	0.994415237711667	-0.00807969149512768	0.958544369540916	1	-0.00807776003483518
AARS2	674.318959332836	746.58969279887	602.048225866802	0.806397719756617	-0.310436535539204	0.137926583759143	1	-0.309973299131498
AARSD1	0	0	0	NA	NA	NA	NA	0
AASDH	152.458039039384	161.968752353028	142.94732572574	0.882561133854824	-0.180231879444675	0.634577403204121	1	-0.17905438190984
AASDHPPT	792.549118160763	809.843761765141	775.254474556384	0.957288937889247	-0.0629736567539684	0.757822091075585	1	-0.062894274625064
AASS	1002.36779683674	1031.23300314709	973.502590526389	0.944018071139576	-0.0831136178278832	0.661931058390675	1	-0.0830307374211436
AATF	1647.92705355771	1626.39628842064	1669.45781869477	1.02647665306464	0.0377008141090435	0.826740669776438	1	0.0376779476631306
