FACTOR	JDP2_NFKB_wo_vs_random	JDP2_NFKB_with_vs_random	JDP2_NFKB_with_vs_wo	JDP2_wo_vs_random	JDP2_FOS_NFKB_with_vs_random	JDP2_FOS_NFKB_wo_vs_random	JDP2_FOS_NFKB_with_vs_wo
MA0136.1.ELF5	1.0000e+00	1.0000e+00	4.3450e-01	1.0000e+00	1.0000e+00	1.0000e+00	4.0550e-01
MA0137.3.STAT1	1.0000e+00	1.0000e+00	2.4912e-01	1.0000e+00	1.0000e+00	1.0000e+00	8.6459e-01
MA0138.2.REST	0.0000e+00	2.7437e-56	1.0000e+00	0.0000e+00	8.9543e-12	4.5358e-26	8.1392e-01
MA0139.1.CTCF	0.0000e+00	1.2711e-174	9.8980e-01	0.0000e+00	4.8081e-39	1.1801e-80	5.9507e-01
MA0140.2.TAL1::GATA1	1.0000e+00	1.0000e+00	4.2657e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.1256e-01
MA0141.2.Esrrb	1.0000e+00	1.0000e+00	9.2075e-01	1.0000e+00	3.6050e-01	1.0000e+00	5.1416e-01
MA0142.1.Pou5f1::Sox2	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.3730e-01
MA0143.3.Sox2	1.0000e+00	1.0000e+00	2.3307e-02	1.0000e+00	1.0000e+00	1.0000e+00	2.9982e-01
MA0144.2.STAT3	1.0000e+00	1.0000e+00	6.4062e-01	1.0000e+00	1.0000e+00	1.0000e+00	8.8719e-01
MA0145.2.Tcfcp2l1	0.0000e+00	9.4419e-90	6.6493e-01	0.0000e+00	5.1840e-20	1.7119e-35	5.4949e-01
MA0146.2.Zfx	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00	5.8501e-77	2.4170e-183	7.5212e-01
MA0147.2.Myc	1.0000e+00	1.0000e+00	5.0718e-01	1.0000e+00	7.6757e-01	1.0000e+00	4.0089e-01
MA0148.3.FOXA1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.7285e-01
MA0149.1.EWSR1-FLI1	2.2611e-319	7.5745e-55	4.8903e-01	0.0000e+00	4.0078e-14	2.5531e-28	7.3659e-01
MA0150.2.Nfe2l2	1.0000e+00	1.0000e+00	3.7596e-02	1.0000e+00	9.7885e-04	2.1747e-05	7.5212e-01
MA0151.1.ARID3A	1.0000e+00	1.0000e+00	9.2528e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.3730e-01
MA0152.1.NFATC2	1.0000e+00	1.0000e+00	8.2478e-01	1.0000e+00	1.0000e+00	1.0000e+00	7.8935e-01
MA0153.1.HNF1B	1.0000e+00	1.0000e+00	8.5599e-01	1.0000e+00	1.0000e+00	1.0000e+00	5.1416e-01
MA0154.2.EBF1	0.0000e+00	1.6020e-61	4.8012e-01	0.0000e+00	2.8922e-17	2.9722e-18	1.8907e-01
MA0155.1.INSM1	0.0000e+00	4.2377e-147	7.0362e-01	0.0000e+00	1.1102e-38	2.2823e-62	2.9982e-01
MA0156.1.FEV	1.0000e+00	1.0000e+00	5.7318e-01	1.0000e+00	9.2114e-01	1.0000e+00	7.8935e-01
MA0157.1.FOXO3	1.0000e+00	1.0000e+00	7.7507e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.2878e-01
