FACTOR	JDP2_NFKB_wo_vs_random	JDP2_NFKB_with_vs_random	JDP2_NFKB_with_vs_wo	JDP2_wo_vs_random	JDP2_FOS_NFKB_with_vs_random	JDP2_FOS_NFKB_wo_vs_random	JDP2_FOS_NFKB_with_vs_wo
MA0513.1.SMAD2::SMAD3::SMAD4	1.0000e+00	1.0000e+00	7.1754e-01	1.0000e+00	1.0000e+00	1.0000e+00	8.0073e-01
MA0514.1.Sox3	1.0000e+00	1.0000e+00	6.4974e-01	1.0000e+00	1.0000e+00	1.0000e+00	7.5212e-01
MA0515.1.Sox6	1.0000e+00	1.0000e+00	9.2528e-01	1.0000e+00	1.0000e+00	1.0000e+00	8.0049e-01
MA0516.1.SP2	0.0000e+00	0.0000e+00	7.5304e-02	0.0000e+00	2.2509e-243	0.0000e+00	4.0550e-01
MA0517.1.STAT2::STAT1	1.0000e+00	1.0000e+00	4.3926e-01	1.0000e+00	1.0000e+00	1.0000e+00	5.1416e-01
MA0518.1.Stat4	1.0000e+00	1.0000e+00	2.9453e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.1256e-01
MA0519.1.Stat5a::Stat5b	1.0000e+00	1.0000e+00	3.6202e-01	1.0000e+00	1.0000e+00	1.0000e+00	7.5404e-01
MA0520.1.Stat6	1.0000e+00	1.0000e+00	8.5599e-01	1.0000e+00	1.0000e+00	1.0000e+00	6.7211e-01
MA0521.1.Tcf12	1.4589e-188	8.0401e-19	1.0000e+00	1.6152e-201	4.4686e-06	8.8832e-18	9.3730e-01
MA0522.1.Tcf3	9.2900e-222	4.1008e-23	1.0000e+00	4.9149e-238	3.0831e-08	8.3139e-16	7.6554e-01
MA0523.1.TCF7L2	1.0000e+00	1.0000e+00	8.2415e-01	1.0000e+00	1.0000e+00	1.0000e+00	7.5212e-01
MA0524.1.TFAP2C	0.0000e+00	1.5424e-240	7.7077e-01	0.0000e+00	2.9428e-53	1.7217e-101	4.0102e-01
MA0525.1.TP63	6.7388e-01	8.8007e-01	8.4847e-01	4.9355e-01	1.0000e+00	1.0000e+00	8.7117e-01
MA0526.1.USF2	1.0000e+00	1.0000e+00	6.0649e-01	1.0000e+00	2.8816e-01	1.0000e+00	8.7818e-02
MA0527.1.ZBTB33	0.0000e+00	7.5040e-261	1.0000e+00	0.0000e+00	1.5263e-54	3.5368e-135	8.4302e-01
MA0528.1.ZNF263	0.0000e+00	9.3713e-141	2.8166e-01	0.0000e+00	6.3913e-44	5.2986e-55	2.1198e-02
MA0591.1.Bach1::Mafk	2.7889e-17	2.5692e-05	6.0649e-01	8.1208e-21	5.7955e-11	1.1230e-27	9.0145e-01
MA0592.1.ESRRA	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	4.0984e-01	1.0000e+00	5.0730e-01
MA0593.1.FOXP2	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.7395e-01
MA0594.1.Hoxa9	1.0000e+00	1.0000e+00	8.3607e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.2878e-01
MA0595.1.SREBF1	1.0000e+00	1.0000e+00	8.3618e-01	1.0000e+00	1.0000e+00	1.0000e+00	7.5212e-01
MA0596.1.SREBF2	1.0000e+00	1.0000e+00	5.6760e-01	1.0000e+00	1.0000e+00	1.0000e+00	4.0907e-01
MA0597.1.THAP1	0.0000e+00	7.5452e-51	1.0000e+00	0.0000e+00	7.3771e-09	1.7684e-28	9.6779e-01
MA0598.1.EHF	1.9544e-85	1.5515e-25	2.7544e-02	1.1594e-104	8.5043e-19	1.7157e-11	1.0392e-02
MA0599.1.KLF5	0.0000e+00	0.0000e+00	7.1044e-02	0.0000e+00	6.1603e-177	0.0000e+00	4.0089e-01
MA0600.1.RFX2	2.8080e-56	4.9152e-09	9.2528e-01	1.1168e-62	4.5842e-02	2.2335e-02	7.6438e-01
UP00000_1_Smad3_primary	1.0000e+00	1.0000e+00	7.1754e-01	1.0000e+00	5.5658e-01	1.0000e+00	4.0550e-01
UP00001_1_E2F2_primary	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00	3.4300e-93	1.8302e-261	9.4798e-01
UP00002_1_Sp4_primary	0.0000e+00	0.0000e+00	7.0278e-02	0.0000e+00	1.6810e-230	0.0000e+00	2.9982e-01
UP00003_1_E2F3_primary	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00	6.3398e-86	6.9189e-214	8.3342e-01
UP00004_1_Sox14_primary	1.0000e+00	1.0000e+00	9.9777e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.7395e-01
UP00005_1_Tcfap2a_primary	0.0000e+00	2.1136e-173	1.0000e+00	0.0000e+00	4.0541e-46	8.1889e-76	2.9982e-01
UP00006_1_Zic3_primary	0.0000e+00	0.0000e+00	6.0649e-01	0.0000e+00	1.6371e-114	2.3272e-209	1.9532e-01
UP00007_1_Egr1_primary	0.0000e+00	0.0000e+00	6.1524e-01	0.0000e+00	3.3797e-206	0.0000e+00	3.8360e-01
UP00008_1_Six6_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.2878e-01
UP00009_1_Nr2f2_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00
UP00010_1_Tcfap2b_primary	0.0000e+00	1.1398e-241	1.0000e+00	0.0000e+00	3.5253e-48	3.8292e-126	8.9231e-01
UP00011_1_Irf6_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.9244e-01
UP00012_1_Bbx_primary	1.0000e+00	1.0000e+00	4.2324e-01	1.0000e+00	1.0000e+00	1.0000e+00	8.7916e-01
UP00014_1_Sox17_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	7.6554e-01
UP00015_1_Ehf_primary	1.6194e-52	1.6512e-08	9.2528e-01	1.0950e-58	5.6773e-07	4.5161e-11	7.1186e-01
UP00016_1_Sry_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.7395e-01
UP00017_1_Nkx3-1_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	6.7211e-01
UP00018_1_Irf4_primary	1.0000e+00	1.0000e+00	8.3607e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.7395e-01
UP00019_1_Zbtb12_primary	1.0000e+00	1.0000e+00	8.5599e-01	1.0000e+00	1.0000e+00	1.0000e+00	8.8719e-01
UP00020_1_Atf1_primary	1.1575e-29	4.1884e-18	1.5856e-03	1.2951e-41	1.5064e-03	1.1333e-10	9.4798e-01
UP00021_1_Zfp281_primary	0.0000e+00	0.0000e+00	1.6630e-04	0.0000e+00	4.1721e-136	2.4031e-218	1.0392e-02
UP00022_1_Zfp740_primary	0.0000e+00	9.6584e-212	3.5605e-02	0.0000e+00	3.4472e-48	2.8629e-91	4.0907e-01
UP00023_1_Sox30_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	8.4302e-01
UP00024_1_Glis2_primary	1.4046e-218	4.9034e-31	9.8980e-01	1.0672e-240	9.4142e-09	3.7878e-17	7.9024e-01
UP00025_1_Foxk1_primary	1.0000e+00	1.0000e+00	9.0180e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.8414e-01
UP00026_1_Zscan4_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	8.6439e-01
UP00027_1_Osr1_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	6.7211e-01
UP00028_1_Tcfap2e_primary	0.0000e+00	1.4247e-268	1.0000e+00	0.0000e+00	1.6281e-62	2.7126e-132	5.7344e-01
UP00029_1_Tbp_primary	1.0000e+00	1.0000e+00	6.4062e-01	1.0000e+00	1.0000e+00	1.0000e+00	6.7211e-01
UP00030_1_Sox11_primary	1.0000e+00	1.0000e+00	7.1129e-01	1.0000e+00	1.0000e+00	1.0000e+00	5.6980e-01
UP00031_1_Zbtb3_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	7.5404e-01
UP00032_1_Gata3_primary	1.0000e+00	1.0000e+00	9.0276e-01	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00
UP00033_1_Zfp410_primary	1.0000e+00	1.0000e+00	7.8664e-01	1.0000e+00	1.0000e+00	1.0000e+00	8.3342e-01
UP00034_1_Sox7_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	8.1535e-01
UP00035_1_Hic1_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.7395e-01
UP00036_1_Myf6_primary	3.1557e-01	1.0000e+00	1.0000e+00	7.5745e-01	1.0000e+00	1.0000e+00	8.8719e-01
UP00037_1_Zfp105_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.8414e-01
UP00039_1_Foxj3_primary	1.0000e+00	1.0000e+00	3.6202e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.3730e-01
UP00040_1_Irf5_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.9244e-01
UP00041_1_Foxj1_primary	1.0000e+00	1.0000e+00	6.7355e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.7976e-01
UP00042_1_Gm397_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.2878e-01
