	all	with	with_clust1	with_clust2	with_clust3	with_clust4	with_clust5	wo	wo_clust1	wo_clust2	wo_clust3	wo_clust4	wo_clust5
MA0002.2.RUNX1	9.32881772496e-15	8.07420541672e-06	0.449019653154	0.0892794995331	0.000159587297225	0.557149422902	1.07596208909e-06	2.86185691142e-07	0.454130560365	0.702187354427	1.51019107133e-05	0.00216519950916	1.71844929622e-06
MA0479.1.FOXH1	0.999999999973	1.0	0.99999629459	0.9999997285	0.99999999984	1.0	1.0	0.999997997225	0.982070250566	0.487690594461	0.985804554641	0.998925318186	0.972907504024
UP00089_1_Tcf1_primary	0.999999999968	0.999999999979	0.99999976572	0.999995141666	0.999999994916	1.0	1.0	1.0	0.999999999857	0.999994724981	0.987202188675	0.999998532262	0.999999987876
UP00170_1_Isl2_3430.1	0.999999999963	0.999999999996	1.0	1.0	0.999999999997	1.0	0.999999999998	1.0	0.999999999998	0.999999994609	1.0	1.0	0.999999999999
UP00208_1_Obox5_2284.1	0.999999999954	1.0	0.999994461895	0.999978855915	0.99999999973	1.0	1.0	1.0	0.975436811358	0.997464946693	0.99994363385	0.999999958409	1.0
MA0101.1.REL	0.0	0.0	7.49555400494e-48	2.00037223093e-42	2.37593572163e-261	1.7564873679e-123	0.0	2.33240709198e-148	3.07531184388e-12	1.01372246339e-06	6.81761633285e-21	1.66847890914e-19	4.1429850092e-102
UP00197_1_Hoxc9_2367.2	0.999999999963	1.0	0.999999999983	0.999999999591	0.999999999999	1.0	1.0	1.0	0.99999999996	0.999999984774	0.999999999994	1.0	1.0
UP00222_1_Tcf2_0913.2	0.999999999946	0.999999999984	0.999943038675	0.999982551396	0.999967960167	0.99999992498	0.999990248446	1.0	0.981142412094	0.99840757188	0.990121687656	0.968894817247	0.999999949555
UP00048_1_Rara_primary	8.12310024586e-05	0.0787028672018	0.635608165092	0.933018318864	0.0387958928072	0.930893603162	0.105855477569	5.48634254223e-10	0.300863233207	0.994909938869	0.00445316604406	0.0417226469893	1.76017238117e-05
UP00111_1_Dmbx1_2277.1	0.999999999961	0.999999999979	0.999561048731	0.999271034009	0.99995264056	0.999999964724	0.999998988938	1.0	0.999428198805	0.997714949958	0.954960571055	0.979400689319	0.999999997743
UP00146_1_Pou6f1_1731.2	0.999999999958	0.999999999992	0.999999999863	0.999999419569	0.999999999997	1.0	1.0	1.0	0.999999994976	0.999965169869	0.997020194805	0.999999999783	0.999999999029
MA0518.1.Stat4	1.1618108956e-17	9.49270675813e-05	0.247807753335	0.469738070768	3.95789157086e-08	0.666487709807	1.49103347399e-06	9.97369683467e-12	0.190001403737	0.266889464287	0.00113249416162	0.032795979841	1.40951430456e-11
UP00194_1_Irx4_2242.3	0.999999999953	1.0	1.0	1.0	0.999999999998	1.0	1.0	1.0	0.999999999998	0.999999999975	1.0	1.0	1.0
UP00068_1_Eomes_primary	0.999999999934	0.999999890948	0.992010732354	0.991797420556	0.913567481955	0.999999952207	0.921881121522	0.999999960521	0.985968186827	0.862351183391	0.998668985778	0.99973579408	0.999906833811
UP00150_1_Irx6_2623.2	0.999999999976	0.999999999997	1.0	1.0	0.999999999998	1.0	0.999999999998	1.0	0.999999999999	0.999999999823	1.0	1.0	1.0
MA0526.1.USF2	0.01892593978	0.0193363707013	0.424288960932	0.237037273276	0.157034106804	0.927809793509	0.0180216417643	0.0296614693579	0.679263659313	0.924265631032	0.320771632599	0.0501264791177	0.0627270299315
MA0159.1.RXR::RAR_DR5	2.43191621009e-51	8.47638770272e-33	0.0275767827051	2.95253039057e-07	6.04204758292e-08	2.83000941604e-05	7.57627999151e-18	3.840388696e-18	0.00188190522923	0.0287293513022	0.00357922806082	2.06691737109e-06	6.70235595938e-10
MA0087.1.Sox5	0.999999999959	0.999999999985	0.999999999978	0.999999999991	0.999999999997	1.0	1.0	1.0	0.999990780131	0.999999957836	0.999999993358	0.999999999997	0.999997532955
UP00088_1_Plagl1_primary	1.28840682975e-306	2.55842839388e-249	2.04758458992e-31	2.88939530981e-40	2.01437231196e-60	3.50870392704e-77	2.24897830777e-62	2.16091645553e-78	1.13811614979e-15	2.06170533985e-08	4.44376202881e-10	1.61174024696e-26	3.46962548817e-24
MA0160.1.NR4A2	6.24220896352e-10	0.00247919802355	0.379318059428	0.531083662554	0.000819151464357	0.680579235277	0.0135292813353	1.43348173455e-08	0.00893081545191	0.819075491539	1.18352972398e-05	0.0147189228356	2.56721535133e-05
UP00028_1_Tcfap2e_primary	8.29996254537e-281	1.04243575011e-206	1.51278472889e-20	5.67684507477e-18	2.2926113141e-46	2.31513598653e-65	6.14399920165e-61	4.27010336992e-107	7.63468261274e-13	8.0069461223e-08	2.93197118659e-18	1.26904907566e-28	4.16622217517e-47
MA0051.1.IRF2	0.999999999957	1.0	0.999999234155	0.999843407449	0.999345315764	0.999996308621	0.999836746926	0.999987840133	0.984573382854	0.988348680936	0.993007647631	0.953786500518	0.998235200525
UP00259_1_Hoxb6_3428.2	0.999999999946	0.999999999996	0.999999999993	0.999999999997	0.999999999969	1.0	1.0	1.0	0.999958469991	0.999856206375	0.99999985017	0.999999999467	0.999999999967
UP00407_1_Elf3_primary	1.14816603989e-40	5.23109312263e-07	0.701439445358	0.251444285874	6.2693473139e-05	0.127267656841	0.0127650632574	2.59569742485e-44	0.00474769086059	0.0157780610608	6.95915868569e-15	7.31059201341e-07	5.52038171183e-29
MA0142.1.Pou5f1::Sox2	0.999999999979	1.0	1.0	1.0	0.999999999998	1.0	1.0	1.0	0.999999999998	0.999999999994	0.999999998988	1.0	1.0
UP00214_1_Hoxb5_3122.2	1.0	0.999999999999	1.0	0.999999998603	0.999999999998	1.0	1.0	1.0	0.999999999681	0.999868517817	0.999989160579	1.0	1.0
MA0084.1.SRY	0.999999999937	0.999999999979	1.0	0.999999998789	0.999999999999	1.0	1.0	1.0	0.999986746543	0.999999999473	0.999999970814	1.0	0.999999996459
UP00173_1_Hoxc13_3127.1	0.999999999952	0.999999999993	1.0	0.999999913057	0.999999999996	1.0	1.0	1.0	0.999999999995	0.999986081992	0.999999639158	1.0	1.0
UP00085_1_Sfpi1_primary	3.22717005999e-103	1.69645144014e-35	0.0150317703498	0.0225508268191	2.16763796469e-15	1.01644204049e-07	5.3871175225e-16	8.37663256578e-68	3.67785619561e-05	0.0203888561726	4.6994677749e-13	1.7734945162e-12	6.65740803357e-43
MA0146.2.Zfx	1.45586750223e-204	3.8727249983e-152	6.17689370247e-16	4.15438683034e-22	1.29343141571e-33	1.55551899962e-52	3.10398934939e-44	1.06999813836e-69	1.07064865044e-13	0.000752368036463	1.45994542669e-13	3.99613857844e-25	7.6230971229e-32
MA0259.1.HIF1A::ARNT	2.66369116763e-27	3.37130981789e-22	0.00274026327766	8.27018714046e-08	1.44500389805e-05	1.05292295276e-05	0.0246525480719	5.44614997819e-16	0.0110475789847	0.658887067878	0.0154889398522	7.70361440389e-09	7.51513487043e-06
UP00121_1_Hoxd10_2368.2	0.999999999932	0.999999999997	1.0	1.0	1.0	1.0	1.0	1.0	0.999999999998	1.0	1.0	1.0	1.0
MA0113.2.NR3C1	0.0623410645649	0.609145640123	0.550454284103	0.983241536915	0.762455085782	0.666034582375	0.0381500848152	0.0209432575998	0.582734439537	0.377630460157	0.199683736486	0.878692466242	0.00322331029989
UP00112_1_Gsc_2327.3	0.999999999952	0.999999999984	0.988548888105	0.997615074988	0.999365264828	0.999996582311	0.999590538839	0.99999999595	0.993411042148	0.987492662327	0.567949152959	0.99962496431	0.995867445197
MA0048.1.NHLH1	4.81435151902e-249	1.43077122038e-146	2.07325846221e-12	6.67422637315e-24	4.38855541356e-39	2.70634975892e-36	3.61031866456e-45	3.89121269206e-119	3.49924972052e-09	1.07842817372e-08	1.21733917061e-20	6.20115898847e-22	8.80650800182e-56
MA0083.2.SRF	0.999999999931	0.999999999989	0.999566637227	0.996840296332	0.998017028781	0.999997730961	0.999693853946	0.999608084079	0.834253084247	0.988744169661	0.854957447347	0.993623017634	0.927005348749
UP00187_1_Alx4_1744.1	0.999999999968	0.99999999999	0.999999999971	1.0	0.999999999999	1.0	1.0	1.0	0.999999998991	0.999999936592	0.999999999904	1.0	1.0
UP00145_1_Barhl2_3868.1	0.999999999942	0.999999999993	1.0	1.0	0.999999999999	1.0	1.0	1.0	0.999999999999	0.999999999961	1.0	1.0	1.0
UP00152_1_Arx_1738.2	0.999999999958	1.0	0.999999999999	0.999999999807	0.999999985731	1.0	1.0	1.0	0.999999934349	0.999999993945	0.999999999929	1.0	1.0
UP00072_1_IRC900814_primary	0.999997524139	0.999999980286	0.997933409076	0.949141235018	0.983671534469	0.932073947582	0.999999943316	0.980989764252	0.827053984775	0.635049893112	0.0844702131863	0.9534469091	0.999967386049
MA0075.1.Prrx2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0482.1.Gata4	0.999999999984	1.0	0.999989410428	0.999857145408	0.955835647939	1.0	0.999857007258	0.999906990976	0.987771386569	0.998531715433	0.701052918739	0.999984523098	0.652968329689
MA0523.1.TCF7L2	0.999999999955	0.99999999999	0.999802489364	0.999999564691	0.999995654862	1.0	0.999999998704	1.0	0.995823134309	0.999340185358	0.999403184407	0.999999999998	0.999692751331
UP00050_1_Bhlhb2_primary	9.05203672733e-09	2.38088862952e-05	0.268790480705	0.239012243086	0.00166201326621	0.186310001335	0.0741118961029	3.67679161313e-06	0.252686128904	0.277569550146	0.0113399242151	0.00185104782483	0.00281007245318
MA0525.1.TP63	5.66408152781e-18	9.51699602603e-12	0.0383315707581	0.212032891386	0.00166454805574	0.000231511701259	0.000202883456429	6.65853664005e-11	0.0211054435065	0.00766993410931	0.117956971982	3.56856204409e-06	5.61643172377e-10
MA0076.2.ELK4	0.0	3.89694118587e-260	1.09925838404e-18	1.00120512251e-20	3.25186297062e-88	4.45087782613e-83	1.50989823165e-74	2.10314580902e-269	4.78345940734e-30	7.2589159981e-10	1.00830946199e-53	5.04088579837e-80	9.44230833629e-130
