X	with_REL
-150	0.0892671066342
-149	0.104897533866
-148	0.0920458492532
-147	0.0969086488364
-146	0.096561306009
-145	0.101424105592
-144	0.0951719346995
-143	0.0896144494616
-142	0.0951719346995
-141	0.10038207711
-140	0.0948245918722
-139	0.0986453629733
-138	0.0941299062174
-137	0.109065647794
-136	0.105939562348
-135	0.116359847169
-134	0.125043417853
-133	0.115665161514
-132	0.0986453629733
-131	0.0948245918722
-130	0.0976033344911
-129	0.106286905175
-128	0.116707189997
-127	0.10038207711
-126	0.0969086488364
-125	0.112191733241
-124	0.10698159083
-123	0.122959360889
-122	0.0955192775269
-121	0.116359847169
-120	0.0951719346995
-119	0.10837096214
-118	0.089961792289
-117	0.100034734283
-116	0.109760333449
-115	0.107328933658
-114	0.100729419937
-113	0.107676276485
-112	0.107328933658
-111	0.122264675234
-110	0.0982980201459
-109	0.12156998958
-108	0.12018061827
-107	0.105244876693
-106	0.114623133032
-105	0.113928447378
-104	0.0982980201459
-103	0.117401875651
-102	0.108023619312
-101	0.111844390413
-100	0.113233761723
-99	0.122612018062
-98	0.12678013199
-97	0.104202848211
-96	0.12156998958
-95	0.125043417853
-94	0.124348732199
-93	0.114275790205
-92	0.12156998958
-91	0.125043417853
-90	0.107328933658
-89	0.111149704759
-88	0.109065647794
-87	0.118443904133
-86	0.129211531782
-85	0.125738103508
-84	0.113233761723
-83	0.121222646752
-82	0.135116359847
-81	0.12018061827
-80	0.109760333449
-79	0.115317818687
-78	0.13337964571
-77	0.116707189997
-76	0.124348732199
-75	0.130948245919
-74	0.121917332407
-73	0.104202848211
-72	0.113928447378
-71	0.134074331365
-70	0.133032302883
-69	0.13337964571
-68	0.128864188954
-67	0.111149704759
-66	0.135811045502
-65	0.143105244877
-64	0.136158388329
-63	0.136158388329
-62	0.124696075026
-61	0.127127474818
-60	0.143105244877
-59	0.117054532824
-58	0.120527961098
-57	0.130600903091
-56	0.1281695033
-55	0.125738103508
-54	0.130253560264
-53	0.126085446336
-52	0.124348732199
-51	0.136505731157
-50	0.137200416811
-49	0.129558874609
-48	0.13476901702
-47	0.133032302883
-46	0.138589788121
-45	0.129211531782
-44	0.138937130948
-43	0.14657867315
-42	0.142063216395
-41	0.135811045502
-40	0.135463702675
-39	0.142757902049
-38	0.133032302883
-37	0.140326502258
-36	0.149010072942
-35	0.13337964571
-34	0.133032302883
-33	0.131990274401
-32	0.155956929489
-31	0.164640500174
-30	0.140326502258
-29	0.146231330323
-28	0.136505731157
-27	0.150746787079
-26	0.143452587704
-25	0.152830844043
-24	0.159083014936
-23	0.160125043418
-22	0.160819729073
-21	0.142063216395
-20	0.138589788121
-19	0.127822160472
-18	0.142410559222
-17	0.168113928447
-16	0.177839527614
-15	0.163945814519
-14	0.15456755818
-13	0.132337617228
-12	0.144494616186
-11	0.135811045502
-10	0.134421674192
-9	0.126432789163
-8	0.12156998958
-7	0.139284473776
-6	0.132337617228
-5	0.135463702675
-4	0.184091698506
-3	0.164640500174
-2	0.0937825633901
-1	0.0680791941646
0	0.0659951372004
1	0.0955192775269
2	0.125738103508
3	0.15317818687
4	0.14136853074
5	0.12156998958
6	0.136853073984
7	0.111149704759
8	0.145536644668
9	0.129558874609
10	0.130600903091
11	0.130948245919
12	0.146926015978
13	0.160819729073
14	0.155609586662
15	0.159430357763
16	0.1611670719
17	0.149010072942
18	0.139631816603
19	0.14136853074
20	0.149357415769
21	0.156998957972
22	0.160819729073
23	0.157346300799
24	0.162209100382
25	0.14657867315
26	0.139631816603
27	0.1281695033
28	0.138242445294
29	0.125390760681
30	0.145536644668
31	0.129211531782
32	0.130600903091
33	0.137895102466
34	0.14796804446
35	0.151788815561
36	0.142757902049
37	0.142757902049
38	0.145883987496
39	0.12678013199
40	0.132684960056
41	0.139631816603
42	0.129906217437
43	0.144841959014
44	0.129558874609
45	0.127474817645
46	0.125390760681
47	0.141715873567
48	0.140326502258
49	0.135463702675
50	0.135116359847
51	0.129211531782
52	0.135463702675
53	0.136158388329
54	0.14136853074
55	0.118791246961
56	0.116012504342
57	0.11497047586
58	0.113233761723
59	0.125043417853
60	0.123306703717
61	0.133032302883
62	0.134074331365
63	0.123306703717
64	0.135811045502
65	0.141021187912
66	0.130600903091
67	0.1281695033
68	0.126085446336
69	0.148315387287
70	0.129906217437
71	0.133032302883
72	0.127822160472
73	0.135116359847
74	0.127474817645
75	0.135811045502
76	0.126432789163
77	0.123306703717
78	0.114275790205
79	0.121222646752
