X	wo_clust5_REL
-150	0.0662162162162
-149	0.0905405405405
-148	0.072972972973
-147	0.0689189189189
-146	0.0648648648649
-145	0.0810810810811
-144	0.0594594594595
-143	0.0635135135135
-142	0.077027027027
-141	0.0864864864865
-140	0.0959459459459
-139	0.0716216216216
-138	0.0783783783784
-137	0.0675675675676
-136	0.0648648648649
-135	0.0608108108108
-134	0.0783783783784
-133	0.0797297297297
-132	0.0878378378378
-131	0.0851351351351
-130	0.05
-129	0.0608108108108
-128	0.0648648648649
-127	0.0702702702703
-126	0.0918918918919
-125	0.0648648648649
-124	0.0810810810811
-123	0.0797297297297
-122	0.0662162162162
-121	0.0891891891892
-120	0.0891891891892
-119	0.0810810810811
-118	0.0689189189189
-117	0.0716216216216
-116	0.0959459459459
-115	0.0743243243243
-114	0.077027027027
-113	0.077027027027
-112	0.105405405405
-111	0.105405405405
-110	0.0918918918919
-109	0.0905405405405
-108	0.0864864864865
-107	0.0824324324324
-106	0.104054054054
-105	0.0702702702703
-104	0.116216216216
-103	0.251351351351
-102	0.0824324324324
-101	0.0905405405405
-100	0.127027027027
-99	0.0810810810811
-98	0.102702702703
-97	0.116216216216
-96	0.0810810810811
-95	0.1
-94	0.105405405405
-93	0.0891891891892
-92	0.109459459459
-91	0.102702702703
-90	0.108108108108
-89	0.0743243243243
-88	0.0783783783784
-87	0.0959459459459
-86	0.0810810810811
-85	0.0608108108108
-84	0.222972972973
-83	0.232432432432
-82	0.0959459459459
-81	0.0797297297297
-80	0.0797297297297
-79	0.1
-78	0.133783783784
-77	0.110810810811
-76	0.0756756756757
-75	0.110810810811
-74	0.108108108108
-73	0.106756756757
-72	0.0945945945946
-71	0.0851351351351
-70	0.118918918919
-69	0.0891891891892
-68	0.0878378378378
-67	0.1
-66	0.0945945945946
-65	0.105405405405
-64	0.0959459459459
-63	0.0986486486486
-62	0.0972972972973
-61	0.0891891891892
-60	0.0810810810811
-59	0.113513513514
-58	0.0864864864865
-57	0.112162162162
-56	0.0986486486486
-55	0.114864864865
-54	0.133783783784
-53	0.1
-52	0.0932432432432
-51	0.0945945945946
-50	0.0905405405405
-49	0.072972972973
-48	0.0864864864865
-47	0.112162162162
-46	0.0918918918919
-45	0.117567567568
-44	0.233783783784
-43	0.137837837838
-42	0.110810810811
-41	0.121621621622
-40	0.0905405405405
-39	0.113513513514
-38	0.1
-37	0.0945945945946
-36	0.114864864865
-35	0.104054054054
-34	0.0824324324324
-33	0.0851351351351
-32	0.0662162162162
-31	0.0864864864865
-30	0.0945945945946
-29	0.0756756756757
-28	0.0797297297297
-27	0.108108108108
-26	0.077027027027
-25	0.1
-24	0.109459459459
-23	0.122972972973
-22	0.108108108108
-21	0.0783783783784
-20	0.0702702702703
-19	0.0918918918919
-18	0.118918918919
-17	0.0891891891892
-16	0.112162162162
-15	0.108108108108
-14	0.0702702702703
-13	0.0864864864865
-12	0.0932432432432
-11	0.118918918919
-10	0.106756756757
-9	0.109459459459
-8	0.101351351351
-7	0.106756756757
-6	0.0783783783784
-5	0.112162162162
-4	0.108108108108
-3	0.0918918918919
-2	0.0635135135135
-1	0.027027027027
0	0.0513513513514
1	0.077027027027
2	0.0891891891892
3	0.116216216216
4	0.0756756756757
5	0.0824324324324
6	0.0689189189189
7	0.0783783783784
8	0.0932432432432
9	0.1
10	0.0621621621622
11	0.077027027027
12	0.106756756757
13	0.0864864864865
14	0.160810810811
15	0.102702702703
16	0.0959459459459
17	0.0689189189189
18	0.0959459459459
19	0.113513513514
20	0.121621621622
21	0.113513513514
22	0.118918918919
23	0.122972972973
24	0.0905405405405
25	0.109459459459
26	0.0972972972973
27	0.109459459459
28	0.0824324324324
29	0.077027027027
30	0.104054054054
31	0.0959459459459
32	0.0864864864865
33	0.0837837837838
34	0.0864864864865
35	0.104054054054
36	0.118918918919
37	0.0797297297297
38	0.102702702703
39	0.113513513514
40	0.136486486486
41	0.0972972972973
42	0.101351351351
43	0.110810810811
44	0.0959459459459
45	0.0986486486486
46	0.104054054054
47	0.106756756757
48	0.0959459459459
49	0.0932432432432
50	0.0918918918919
51	0.0918918918919
52	0.0878378378378
53	0.0932432432432
54	0.106756756757
55	0.0837837837838
56	0.0837837837838
57	0.0756756756757
58	0.110810810811
59	0.0905405405405
60	0.102702702703
61	0.0905405405405
62	0.12972972973
63	0.109459459459
64	0.0932432432432
65	0.108108108108
66	0.0864864864865
67	0.0878378378378
68	0.0797297297297
69	0.0743243243243
70	0.0608108108108
71	0.0797297297297
72	0.0621621621622
73	0.0986486486486
74	0.114864864865
75	0.0878378378378
76	0.102702702703
77	0.0702702702703
78	0.0972972972973
79	0.0864864864865
80	0.0608108108108
81	0.0824324324324
82	0.0810810810811
83	0.0986486486486
84	0.0648648648649
85	0.0621621621622
86	0.0702702702703
87	0.0594594594595
88	0.0810810810811
89	0.0797297297297
90	0.0716216216216
91	0.0797297297297
92	0.0837837837838
93	0.0905405405405
94	0.0567567567568
95	0.077027027027
96	0.072972972973
97	0.0635135135135
98	0.0797297297297
99	0.0783783783784
100	0.0783783783784
101	0.0932432432432
102	0.0675675675676
103	0.0635135135135
104	0.0743243243243
105	0.0675675675676
106	0.0675675675676
107	0.0594594594595
108	0.0702702702703
109	0.0797297297297
110	0.0743243243243
111	0.0581081081081
112	0.0540540540541
113	0.0689189189189
114	0.0756756756757
115	0.0743243243243
116	0.0608108108108
117	0.0716216216216
118	0.0378378378378
119	0.0594594594595
120	0.0486486486486
121	0.0567567567568
122	0.0486486486486
123	0.0418918918919
124	0.0527027027027
125	0.0540540540541
126	0.0675675675676
127	0.0513513513514
128	0.0567567567568
129	0.0418918918919
130	0.0689189189189
131	0.0783783783784
132	0.0635135135135
133	0.0608108108108
134	0.0864864864865
135	0.0608108108108
136	0.0391891891892
137	0.05
138	0.0594594594595
139	0.0608108108108
140	0.077027027027
141	0.05
142	0.0445945945946
143	0.0324324324324
144	0.0527027027027
145	0.0364864864865
146	0.0608108108108
147	0.0702702702703
148	0.0418918918919
149	0.0405405405405
150	0.0635135135135
