X	with_clust4_REL
-150	0.113425925926
-149	0.112268518519
-148	0.114583333333
-147	0.116898148148
-146	0.103009259259
-145	0.0983796296296
-144	0.112268518519
-143	0.0763888888889
-142	0.114583333333
-141	0.109953703704
-140	0.0960648148148
-139	0.111111111111
-138	0.108796296296
-137	0.0983796296296
-136	0.0914351851852
-135	0.126157407407
-134	0.106481481481
-133	0.137731481481
-132	0.0902777777778
-131	0.121527777778
-130	0.100694444444
-129	0.121527777778
-128	0.114583333333
-127	0.112268518519
-126	0.100694444444
-125	0.12962962963
-124	0.112268518519
-123	0.121527777778
-122	0.0821759259259
-121	0.122685185185
-120	0.118055555556
-119	0.130787037037
-118	0.108796296296
-117	0.101851851852
-116	0.109953703704
-115	0.103009259259
-114	0.099537037037
-113	0.115740740741
-112	0.115740740741
-111	0.118055555556
-110	0.115740740741
-109	0.135416666667
-108	0.0972222222222
-107	0.127314814815
-106	0.125
-105	0.116898148148
-104	0.0972222222222
-103	0.106481481481
-102	0.100694444444
-101	0.114583333333
-100	0.12037037037
-99	0.133101851852
-98	0.134259259259
-97	0.0972222222222
-96	0.148148148148
-95	0.134259259259
-94	0.109953703704
-93	0.111111111111
-92	0.122685185185
-91	0.12037037037
-90	0.141203703704
-89	0.109953703704
-88	0.100694444444
-87	0.105324074074
-86	0.143518518519
-85	0.123842592593
-84	0.099537037037
-83	0.125
-82	0.121527777778
-81	0.130787037037
-80	0.126157407407
-79	0.145833333333
-78	0.121527777778
-77	0.142361111111
-76	0.127314814815
-75	0.15625
-74	0.12962962963
-73	0.0960648148148
-72	0.0925925925926
-71	0.136574074074
-70	0.131944444444
-69	0.138888888889
-68	0.128472222222
-67	0.0972222222222
-66	0.168981481481
-65	0.158564814815
-64	0.128472222222
-63	0.137731481481
-62	0.116898148148
-61	0.136574074074
-60	0.141203703704
-59	0.123842592593
-58	0.134259259259
-57	0.150462962963
-56	0.145833333333
-55	0.119212962963
-54	0.105324074074
-53	0.114583333333
-52	0.119212962963
-51	0.122685185185
-50	0.143518518519
-49	0.101851851852
-48	0.144675925926
-47	0.127314814815
-46	0.150462962963
-45	0.100694444444
-44	0.135416666667
-43	0.134259259259
-42	0.143518518519
-41	0.141203703704
-40	0.135416666667
-39	0.15162037037
-38	0.107638888889
-37	0.141203703704
-36	0.118055555556
-35	0.127314814815
-34	0.112268518519
-33	0.109953703704
-32	0.144675925926
-31	0.233796296296
-30	0.134259259259
-29	0.123842592593
-28	0.109953703704
-27	0.141203703704
-26	0.134259259259
-25	0.126157407407
-24	0.149305555556
-23	0.155092592593
-22	0.167824074074
-21	0.126157407407
-20	0.123842592593
-19	0.142361111111
-18	0.127314814815
-17	0.12962962963
-16	0.146990740741
-15	0.130787037037
-14	0.15162037037
-13	0.12037037037
-12	0.159722222222
-11	0.134259259259
-10	0.125
-9	0.118055555556
-8	0.118055555556
-7	0.143518518519
-6	0.116898148148
-5	0.114583333333
-4	0.185185185185
-3	0.150462962963
-2	0.0775462962963
-1	0.0358796296296
0	0.0601851851852
1	0.101851851852
2	0.0960648148148
3	0.146990740741
4	0.138888888889
5	0.125
6	0.118055555556
7	0.113425925926
8	0.140046296296
9	0.127314814815
10	0.121527777778
11	0.12037037037
12	0.134259259259
13	0.155092592593
14	0.163194444444
15	0.141203703704
16	0.126157407407
17	0.114583333333
18	0.128472222222
19	0.15162037037
20	0.126157407407
21	0.144675925926
22	0.166666666667
23	0.119212962963
24	0.149305555556
25	0.149305555556
26	0.103009259259
27	0.0752314814815
28	0.128472222222
29	0.100694444444
30	0.134259259259
31	0.12962962963
32	0.123842592593
33	0.111111111111
34	0.141203703704
35	0.134259259259
36	0.118055555556
37	0.134259259259
38	0.162037037037
39	0.148148148148
40	0.136574074074
41	0.164351851852
42	0.127314814815
43	0.122685185185
44	0.114583333333
45	0.114583333333
46	0.131944444444
47	0.15162037037
48	0.16087962963
49	0.126157407407
50	0.131944444444
51	0.131944444444
52	0.134259259259
53	0.12962962963
54	0.141203703704
55	0.100694444444
56	0.105324074074
57	0.100694444444
58	0.113425925926
59	0.12037037037
60	0.12037037037
61	0.145833333333
62	0.0960648148148
63	0.12037037037
64	0.131944444444
65	0.152777777778
66	0.126157407407
67	0.144675925926
68	0.12037037037
69	0.150462962963
70	0.144675925926
71	0.122685185185
72	0.122685185185
73	0.119212962963
74	0.12037037037
75	0.150462962963
76	0.116898148148
77	0.125
78	0.0983796296296
79	0.128472222222
80	0.128472222222
81	0.107638888889
82	0.128472222222
83	0.112268518519
84	0.119212962963
85	0.118055555556
86	0.12962962963
87	0.121527777778
88	0.113425925926
89	0.109953703704
90	0.123842592593
91	0.135416666667
92	0.101851851852
93	0.107638888889
94	0.119212962963
95	0.137731481481
96	0.0949074074074
97	0.118055555556
98	0.09375
99	0.138888888889
100	0.105324074074
101	0.105324074074
102	0.123842592593
103	0.12962962963
104	0.106481481481
105	0.0972222222222
106	0.0798611111111
107	0.12962962963
108	0.0902777777778
109	0.0925925925926
110	0.123842592593
111	0.113425925926
112	0.099537037037
113	0.104166666667
114	0.123842592593
115	0.104166666667
116	0.106481481481
117	0.12037037037
118	0.123842592593
119	0.116898148148
120	0.112268518519
121	0.106481481481
122	0.119212962963
123	0.0856481481481
124	0.0833333333333
125	0.12037037037
126	0.0983796296296
127	0.100694444444
128	0.0949074074074
129	0.118055555556
130	0.133101851852
131	0.111111111111
132	0.0949074074074
133	0.0902777777778
134	0.100694444444
135	0.0949074074074
