X	all_REL
-150	0.0844501169964
-149	0.0910444586258
-148	0.0765794511806
-147	0.0861518825782
-146	0.091682620719
-145	0.0914699000213
-144	0.0829610721123
-143	0.0835992342055
-142	0.0874282067645
-141	0.0882790895554
-140	0.0865773239736
-139	0.0882790895554
-138	0.0844501169964
-137	0.0908317379281
-136	0.0908317379281
-135	0.102531376303
-134	0.108912997235
-133	0.0987024037439
-132	0.0906190172304
-131	0.08785364816
-130	0.08317379281
-129	0.0918953414167
-128	0.0931716656031
-127	0.0897681344395
-126	0.0925335035099
-125	0.0921080621144
-124	0.0970006381621
-123	0.112316528398
-122	0.0853009997873
-121	0.101680493512
-120	0.089342693044
-119	0.0959370346735
-118	0.0821101893214
-117	0.0840246756009
-116	0.106360348862
-115	0.0942352690917
-114	0.0938098276962
-113	0.100191448628
-112	0.107423952351
-111	0.102318655605
-110	0.0908317379281
-109	0.109763880026
-108	0.102956817698
-107	0.0929589449053
-106	0.103594979792
-105	0.100404169326
-104	0.0927462242076
-103	0.130185067007
-102	0.097851520953
-101	0.101680493512
-100	0.108700276537
-99	0.104871303978
-98	0.108700276537
-97	0.105934907466
-96	0.1121038077
-95	0.114869176771
-94	0.108912997235
-93	0.107423952351
-92	0.112741969794
-91	0.11678366305
-90	0.104445862582
-89	0.102105934907
-88	0.0995532865348
-87	0.11125292491
-86	0.110614762816
-85	0.107849393746
-84	0.125930653053
-83	0.131674111891
-82	0.119761752819
-81	0.107849393746
-80	0.103594979792
-79	0.112954690491
-78	0.123803446075
-77	0.112529249096
-76	0.114656456073
-75	0.119761752819
-74	0.110614762816
-73	0.10465858328
-72	0.10465858328
-71	0.118059987237
-70	0.122739842587
-69	0.111040204212
-68	0.114231014678
-67	0.107849393746
-66	0.124654328866
-65	0.1308232291
-64	0.11593278026
-63	0.111891087003
-62	0.110614762816
-61	0.115507338864
-60	0.118910870028
-59	0.112316528398
-58	0.10933843863
-57	0.121676239098
-56	0.116570942353
-55	0.121250797703
-54	0.122314401191
-53	0.11678366305
-52	0.110827483514
-51	0.125079770262
-50	0.120825356307
-49	0.113592852585
-48	0.11593278026
-47	0.119336311423
-46	0.117209104446
-45	0.120399914912
-44	0.139119336311
-43	0.135077643055
-42	0.129121463518
-41	0.125930653053
-40	0.11678366305
-39	0.129121463518
-38	0.126356094448
-37	0.119336311423
-36	0.134439480961
-35	0.123590725378
-34	0.114443735375
-33	0.114869176771
-32	0.127632418634
-31	0.140821101893
-30	0.124228887471
-29	0.124867049564
-28	0.124441608168
-27	0.131674111891
-26	0.125717932355
-25	0.128908742821
-24	0.135715805148
-23	0.148691767709
-22	0.139119336311
-21	0.125717932355
-20	0.128483301425
-19	0.115720059562
-18	0.126781535843
-17	0.145500957243
-16	0.149329929802
-15	0.143586470964
-14	0.12805786003
-13	0.11869814933
-12	0.122527121889
-11	0.128483301425
-10	0.130610508402
-9	0.114869176771
-8	0.106998510955
-7	0.129546904914
-6	0.115081897469
-5	0.122527121889
-4	0.162305892363
-3	0.136566687939
-2	0.0835992342055
-1	0.0565837055946
0	0.0595617953627
1	0.0880663688577
2	0.116358221655
3	0.138481174218
4	0.124654328866
5	0.110827483514
6	0.116570942353
7	0.102744097001
8	0.128270580728
9	0.122101680494
10	0.116996383748
11	0.11869814933
12	0.127845139332
13	0.128696022123
14	0.148266326314
15	0.134226760264
16	0.139757498405
17	0.116996383748
18	0.120612635609
19	0.122527121889
20	0.128908742821
21	0.13273771538
22	0.141459263986
23	0.150180812593
24	0.14209742608
25	0.131886832589
26	0.121250797703
27	0.118059987237
28	0.123590725378
29	0.11593278026
30	0.128483301425
31	0.120187194214
32	0.109125717932
33	0.117209104446
34	0.126781535843
35	0.132099553287
36	0.129334184216
37	0.121038077005
38	0.127419697937
39	0.116145500957
40	0.124016166773
41	0.125292490959
42	0.118272707934
43	0.125930653053
