X	with_REL	wo_REL
-150	0.0892671066342	0.0661157024793
-149	0.104897533866	0.0732782369146
-148	0.0920458492532	0.0573002754821
-147	0.0969086488364	0.0721763085399
-146	0.096561306009	0.0666666666667
-145	0.101424105592	0.0694214876033
-144	0.0951719346995	0.0600550964187
-143	0.0896144494616	0.0600550964187
-142	0.0951719346995	0.0710743801653
-141	0.10038207711	0.0699724517906
-140	0.0948245918722	0.0694214876033
-139	0.0986453629733	0.0650137741047
-138	0.0941299062174	0.0732782369146
-137	0.109065647794	0.0644628099174
-136	0.105939562348	0.0677685950413
-135	0.116359847169	0.0710743801653
-134	0.125043417853	0.0815426997245
-133	0.115665161514	0.0732782369146
-132	0.0986453629733	0.0754820936639
-131	0.0948245918722	0.0666666666667
-130	0.0976033344911	0.06391184573
-129	0.106286905175	0.070523415978
-128	0.116707189997	0.0683195592287
-127	0.10038207711	0.070523415978
-126	0.0969086488364	0.0848484848485
-125	0.112191733241	0.0699724517906
-124	0.10698159083	0.0815426997245
-123	0.122959360889	0.0936639118457
-122	0.0955192775269	0.065564738292
-121	0.116359847169	0.0732782369146
-120	0.0951719346995	0.0776859504132
-119	0.10837096214	0.0683195592287
-118	0.089961792289	0.0732782369146
-117	0.100034734283	0.0683195592287
-116	0.109760333449	0.0947658402204
-115	0.107328933658	0.0760330578512
-114	0.100729419937	0.0754820936639
-113	0.107676276485	0.0870523415978
-112	0.107328933658	0.0980716253444
-111	0.122264675234	0.0837465564738
-110	0.0982980201459	0.0804407713499
-109	0.12156998958	0.0909090909091
-108	0.12018061827	0.0771349862259
-107	0.105244876693	0.0765840220386
-106	0.114623133032	0.0898071625344
-105	0.113928447378	0.0798898071625
-104	0.0982980201459	0.0826446280992
-103	0.117401875651	0.147658402204
-102	0.108023619312	0.0749311294766
-101	0.111844390413	0.0809917355372
-100	0.113233761723	0.0997245179063
-99	0.122612018062	0.0765840220386
-98	0.12678013199	0.0826446280992
-97	0.104202848211	0.095867768595
-96	0.12156998958	0.0870523415978
-95	0.125043417853	0.0892561983471
-94	0.124348732199	0.0936639118457
-93	0.114275790205	0.106336088154
-92	0.12156998958	0.0942148760331
-91	0.125043417853	0.10303030303
-90	0.107328933658	0.0980716253444
-89	0.111149704759	0.0732782369146
-88	0.109065647794	0.0859504132231
-87	0.118443904133	0.0942148760331
-86	0.129211531782	0.0804407713499
-85	0.125738103508	0.0798898071625
-84	0.113233761723	0.146005509642
-83	0.121222646752	0.143801652893
-82	0.135116359847	0.0931129476584
-81	0.12018061827	0.0848484848485
-80	0.109760333449	0.0826446280992
-79	0.115317818687	0.0953168044077
-78	0.13337964571	0.100826446281
-77	0.116707189997	0.10303030303
-76	0.124348732199	0.0942148760331
-75	0.130948245919	0.0942148760331
-74	0.121917332407	0.0936639118457
-73	0.104202848211	0.0898071625344
-72	0.113928447378	0.104132231405
-71	0.134074331365	0.0969696969697
-70	0.133032302883	0.0980716253444
-69	0.13337964571	0.0804407713499
-68	0.128864188954	0.0931129476584
-67	0.111149704759	0.0887052341598
-66	0.135811045502	0.108539944904
-65	0.143105244877	0.115702479339
-64	0.136158388329	0.0738292011019
-63	0.136158388329	0.0782369146006
-62	0.124696075026	0.0842975206612
-61	0.127127474818	0.0798898071625
-60	0.143105244877	0.0876033057851
-59	0.117054532824	0.104132231405
-58	0.120527961098	0.0925619834711
-57	0.130600903091	0.104683195592
-56	0.1281695033	0.10523415978
-55	0.125738103508	0.117355371901
-54	0.130253560264	0.120661157025
-53	0.126085446336	0.0947658402204
-52	0.124348732199	0.0876033057851
-51	0.136505731157	0.0942148760331
-50	0.137200416811	0.0898071625344
-49	0.129558874609	0.0887052341598
-48	0.13476901702	0.0842975206612
-47	0.133032302883	0.0931129476584
-46	0.138589788121	0.0831955922865
-45	0.129211531782	0.102479338843
-44	0.138937130948	0.136639118457
-43	0.14657867315	0.120661157025
-42	0.142063216395	0.107438016529
-41	0.135811045502	0.0969696969697
-40	0.135463702675	0.0848484848485
-39	0.142757902049	0.10303030303
-38	0.133032302883	0.107438016529
-37	0.140326502258	0.0936639118457
-36	0.149010072942	0.109090909091
-35	0.13337964571	0.110743801653
-34	0.133032302883	0.0870523415978
-33	0.131990274401	0.0876033057851
-32	0.155956929489	0.0793388429752
-31	0.164640500174	0.0964187327824
-30	0.140326502258	0.0969696969697
-29	0.146231330323	0.0920110192837
-28	0.136505731157	0.099173553719
-27	0.150746787079	0.0980716253444
-26	0.143452587704	0.0931129476584
-25	0.152830844043	0.0947658402204
-24	0.159083014936	0.109641873278
-23	0.160125043418	0.128925619835
-22	0.160819729073	0.099173553719
-21	0.142063216395	0.0980716253444
-20	0.138589788121	0.109090909091
-19	0.127822160472	0.0914600550964
-18	0.142410559222	0.100275482094
-17	0.168113928447	0.103581267218
-16	0.177839527614	0.109090909091
-15	0.163945814519	0.106887052342
-14	0.15456755818	0.0964187327824
-13	0.132337617228	0.0903581267218
-12	0.144494616186	0.0837465564738
-11	0.135811045502	0.110192837466
-10	0.134421674192	0.129476584022
-9	0.126432789163	0.0964187327824
-8	0.12156998958	0.0865013774105
-7	0.139284473776	0.108539944904
-6	0.132337617228	0.0798898071625
-5	0.135463702675	0.0947658402204
-4	0.184091698506	0.114049586777
-3	0.164640500174	0.095867768595
-2	0.0937825633901	0.065564738292
-1	0.0680791941646	0.035261707989
0	0.0659951372004	0.0495867768595
1	0.0955192775269	0.0782369146006
2	0.125738103508	0.100275482094
3	0.15317818687	0.109641873278
4	0.14136853074	0.101928374656
5	0.12156998958	0.0936639118457
6	0.136853073984	0.0898071625344
7	0.111149704759	0.0815426997245
8	0.145536644668	0.0947658402204
9	0.129558874609	0.106336088154
10	0.130600903091	0.0947658402204
11	0.130948245919	0.0782369146006
12	0.146926015978	0.100826446281
13	0.160819729073	0.0865013774105
14	0.155609586662	0.129476584022
15	0.159430357763	0.097520661157
16	0.1611670719	0.0986225895317
17	0.149010072942	0.0710743801653
18	0.139631816603	0.0848484848485
19	0.14136853074	0.0903581267218
