X	with_clust3_REL	wo_clust3_REL
-150	0.0992063492063	0.0436241610738
-149	0.108465608466	0.0469798657718
-148	0.0965608465608	0.0469798657718
-147	0.117724867725	0.0436241610738
-146	0.117724867725	0.0671140939597
-145	0.123015873016	0.0536912751678
-144	0.0925925925926	0.0436241610738
-143	0.108465608466	0.0536912751678
-142	0.0939153439153	0.0704697986577
-141	0.113756613757	0.0637583892617
-140	0.0886243386243	0.0436241610738
-139	0.108465608466	0.0402684563758
-138	0.0912698412698	0.0469798657718
-137	0.121693121693	0.0637583892617
-136	0.128306878307	0.0369127516779
-135	0.119047619048	0.0436241610738
-134	0.169312169312	0.0704697986577
-133	0.126984126984	0.0570469798658
-132	0.108465608466	0.0604026845638
-131	0.0939153439153	0.0704697986577
-130	0.103174603175	0.0536912751678
-129	0.108465608466	0.0704697986577
-128	0.107142857143	0.0469798657718
-127	0.117724867725	0.0604026845638
-126	0.107142857143	0.0536912751678
-125	0.108465608466	0.0369127516779
-124	0.111111111111	0.0671140939597
-123	0.119047619048	0.0201342281879
-122	0.128306878307	0.0335570469799
-121	0.111111111111	0.0402684563758
-120	0.0925925925926	0.0604026845638
-119	0.103174603175	0.0436241610738
-118	0.0978835978836	0.0536912751678
-117	0.119047619048	0.0402684563758
-116	0.132275132275	0.0838926174497
-115	0.137566137566	0.0402684563758
-114	0.112433862434	0.0536912751678
-113	0.0978835978836	0.0637583892617
-112	0.113756613757	0.0973154362416
-111	0.12037037037	0.0536912751678
-110	0.111111111111	0.0469798657718
-109	0.137566137566	0.0536912751678
-108	0.157407407407	0.0503355704698
-107	0.109788359788	0.0335570469799
-106	0.108465608466	0.0536912751678
-105	0.140211640212	0.0838926174497
-104	0.101851851852	0.0604026845638
-103	0.125661375661	0.0704697986577
-102	0.107142857143	0.0570469798658
-101	0.124338624339	0.0704697986577
-100	0.121693121693	0.0771812080537
-99	0.145502645503	0.0671140939597
-98	0.141534391534	0.0302013422819
-97	0.117724867725	0.0738255033557
-96	0.140211640212	0.0637583892617
-95	0.132275132275	0.0738255033557
-94	0.124338624339	0.0369127516779
-93	0.134920634921	0.0671140939597
-92	0.166666666667	0.0704697986577
-91	0.140211640212	0.124161073826
-90	0.12037037037	0.0570469798658
-89	0.137566137566	0.0805369127517
-88	0.124338624339	0.114093959732
-87	0.137566137566	0.107382550336
-86	0.121693121693	0.0805369127517
-85	0.152116402116	0.0771812080537
-84	0.123015873016	0.110738255034
-83	0.157407407407	0.107382550336
-82	0.161375661376	0.0738255033557
-81	0.123015873016	0.0671140939597
-80	0.137566137566	0.0838926174497
-79	0.113756613757	0.0604026845638
-78	0.132275132275	0.0503355704698
-77	0.126984126984	0.0872483221477
-76	0.132275132275	0.124161073826
-75	0.154761904762	0.0503355704698
-74	0.134920634921	0.0637583892617
-73	0.116402116402	0.0637583892617
-72	0.119047619048	0.0872483221477
-71	0.161375661376	0.0906040268456
-70	0.164021164021	0.0738255033557
-69	0.154761904762	0.0536912751678
-68	0.124338624339	0.107382550336
-67	0.149470899471	0.0973154362416
-66	0.138888888889	0.11744966443
-65	0.160052910053	0.0973154362416
-64	0.152116402116	0.0671140939597
-63	0.141534391534	0.0503355704698
-62	0.123015873016	0.0436241610738
-61	0.153439153439	0.0469798657718
-60	0.162698412698	0.0704697986577
-59	0.154761904762	0.0838926174497
-58	0.111111111111	0.0637583892617
-57	0.146825396825	0.0704697986577
-56	0.128306878307	0.0704697986577
-55	0.164021164021	0.0805369127517
-54	0.166666666667	0.0973154362416
-53	0.154761904762	0.0738255033557
-52	0.164021164021	0.0805369127517
-51	0.175925925926	0.0973154362416
-50	0.153439153439	0.0503355704698
-49	0.138888888889	0.0604026845638
-48	0.126984126984	0.0503355704698
-47	0.150793650794	0.0838926174497
-46	0.145502645503	0.0503355704698
-45	0.157407407407	0.0369127516779
-44	0.174603174603	0.0536912751678
-43	0.175925925926	0.0872483221477
-42	0.166666666667	0.0973154362416
-41	0.181216931217	0.0671140939597
-40	0.183862433862	0.0939597315436
-39	0.195767195767	0.114093959732
-38	0.161375661376	0.10067114094
-37	0.166666666667	0.0872483221477
-36	0.178571428571	0.0906040268456
-35	0.149470899471	0.0838926174497
-34	0.140211640212	0.0771812080537
-33	0.171957671958	0.0838926174497
-32	0.18253968254	0.0738255033557
-31	0.148148148148	0.107382550336
-30	0.148148148148	0.10067114094
-29	0.146825396825	0.0704697986577
-28	0.166666666667	0.0771812080537
-27	0.183862433862	0.0503355704698
-26	0.178571428571	0.0469798657718
-25	0.223544973545	0.0671140939597
-24	0.194444444444	0.110738255034
-23	0.162698412698	0.114093959732
-22	0.18253968254	0.0805369127517
-21	0.171957671958	0.0939597315436
-20	0.171957671958	0.10067114094
-19	0.126984126984	0.104026845638
-18	0.167989417989	0.0838926174497
-17	0.218253968254	0.0939597315436
-16	0.224867724868	0.0536912751678
-15	0.169312169312	0.104026845638
-14	0.167989417989	0.104026845638
-13	0.160052910053	0.0906040268456
-12	0.169312169312	0.0738255033557
-11	0.152116402116	0.107382550336
-10	0.15873015873	0.144295302013
-9	0.121693121693	0.104026845638
-8	0.126984126984	0.0939597315436
-7	0.179894179894	0.0838926174497
-6	0.152116402116	0.0838926174497
-5	0.170634920635	0.0939597315436
-4	0.218253968254	0.137583892617
-3	0.203703703704	0.0906040268456
-2	0.112433862434	0.0604026845638
-1	0.0965608465608	0.0536912751678
0	0.0608465608466	0.0234899328859
1	0.116402116402	0.0704697986577
2	0.17328042328	0.114093959732
3	0.203703703704	0.0805369127517
4	0.161375661376	0.0805369127517
5	0.161375661376	0.0604026845638
6	0.174603174603	0.0805369127517
7	0.104497354497	0.0738255033557
8	0.162698412698	0.0872483221477
9	0.126984126984	0.0805369127517
10	0.150793650794	0.124161073826
11	0.150793650794	0.0704697986577
12	0.174603174603	0.0906040268456
13	0.187830687831	0.0939597315436
14	0.199735449735	0.0771812080537
15	0.169312169312	0.0704697986577
16	0.206349206349	0.0671140939597
17	0.157407407407	0.0872483221477
18	0.171957671958	0.0805369127517
19	0.149470899471	0.0671140939597
20	0.178571428571	0.0771812080537
21	0.19708994709	0.0671140939597
22	0.177248677249	0.127516778523
23	0.187830687831	0.107382550336
24	0.178571428571	0.0906040268456
