FACTOR	P-VALUE	CORR.P-VALUE	A	B	C	D	FREQ	BACK.FREQ.	GENES
MA0024.2.E2F1	2.22073061212e-20	5.65701903299e-19	339.0	367.0	193.0	578.0	48.02%	25.03%	NA
MA0469.1.E2F3	3.25371931745e-20	7.87400074823e-19	467.0	239.0	327.0	444.0	66.15%	42.41%	NA
UP00010_1_Tcfap2b_primary	1.17885832169e-19	2.71698775095e-18	325.0	381.0	183.0	588.0	46.03%	23.74%	NA
MA0146.2.Zfx	1.77268868445e-19	3.8999151058e-18	482.0	224.0	348.0	423.0	68.27%	45.14%	NA
UP00007_1_Egr1_primary	2.47078197441e-19	5.19938467659e-18	447.0	259.0	309.0	462.0	63.31%	40.08%	NA
klf4_homer	2.61361169773e-18	5.19028091589e-17	461.0	245.0	330.0	441.0	65.3%	42.8%	NA
MA0154.2.EBF1	2.68093022515e-18	5.19028091589e-17	406.0	300.0	270.0	501.0	57.51%	35.02%	NA
MA0073.1.RREB1	3.81922179102e-17	7.10962825713e-16	451.0	255.0	325.0	446.0	63.88%	42.15%	NA
MA0472.1.EGR2	2.02523315932e-16	3.63041795968e-15	496.0	210.0	381.0	390.0	70.25%	49.42%	NA
UP00087_1_Tcfap2c_primary	2.21924768275e-16	3.83612813733e-15	296.0	410.0	171.0	600.0	41.93%	22.18%	NA
UP00022_1_Zfp740_primary	2.31363873159e-16	3.86138326238e-15	336.0	370.0	209.0	562.0	47.59%	27.11%	NA
UP00005_1_Tcfap2a_primary	5.42020228069e-16	8.74459301285e-15	294.0	412.0	171.0	600.0	41.64%	22.18%	NA
MA0057.1.MZF1_5-13	2.28529536433e-15	3.56800953657e-14	345.0	361.0	223.0	548.0	48.87%	28.92%	NA
MA0155.1.INSM1	2.75335147004e-15	4.16444409844e-14	383.0	323.0	262.0	509.0	54.25%	33.98%	NA
MA0524.1.TFAP2C	4.67612328333e-15	6.81321375773e-14	435.0	271.0	319.0	452.0	61.61%	41.37%	NA
UP00028_1_Tcfap2e_primary	4.78614189593e-15	6.81321375773e-14	304.0	402.0	185.0	586.0	43.06%	23.99%	NA
MA0471.1.E2F6	1.98971093867e-14	2.75148598377e-13	481.0	225.0	375.0	396.0	68.13%	48.64%	NA
MA0506.1.NRF1	2.58451440581e-14	3.47473603448e-13	325.0	381.0	209.0	562.0	46.03%	27.11%	NA
MA0504.1.NR2C2	6.68254192387e-14	8.74148727338e-13	415.0	291.0	304.0	467.0	58.78%	39.43%	NA
MA0003.2.TFAP2A	7.15349757323e-14	8.91253105755e-13	399.0	307.0	287.0	484.0	56.52%	37.22%	NA
MA0493.1.Klf1	7.18158494307e-14	8.91253105755e-13	443.0	263.0	335.0	436.0	62.75%	43.45%	NA
UP00047_1_Zbtb7b_primary	7.48963241174e-14	9.06245521821e-13	184.0	522.0	86.0	685.0	26.06%	11.15%	NA
MA0103.2.ZEB1	2.15317258057e-13	2.54179397316e-12	268.0	438.0	160.0	611.0	37.96%	20.75%	NA
MA0528.1.ZNF263	3.76472248039e-13	4.33839447741e-12	633.0	73.0	582.0	189.0	89.66%	75.49%	NA
MA0139.1.CTCF	6.31087642095e-13	7.10340508777e-12	361.0	345.0	253.0	518.0	51.13%	32.81%	NA
MA0116.1.Zfp423	1.40215611615e-12	1.54237172776e-11	239.0	467.0	138.0	633.0	33.85%	17.9%	NA
Ash2l_hand	4.64066158593e-12	4.9912893502e-11	318.0	388.0	215.0	556.0	45.04%	27.89%	NA
MA0138.2.REST	1.83830051976e-11	1.93421185122e-10	300.0	406.0	201.0	570.0	42.49%	26.07%	NA
UP00024_1_Glis2_primary	1.38126038253e-10	1.42240430882e-09	174.0	532.0	92.0	679.0	24.65%	11.93%	NA
MA0258.2.ESR2	2.17442997264e-10	2.19255022241e-09	265.0	441.0	174.0	597.0	37.54%	22.57%	NA
MA0065.2.PPARG::RXRA	6.53625981449e-10	6.45622398002e-09	383.0	323.0	296.0	475.0	54.25%	38.39%	NA
MA0597.1.THAP1	1.1640840183e-09	1.12669197506e-08	279.0	427.0	192.0	579.0	39.52%	24.9%	NA
UP00001_1_E2F2_primary	1.18721675058e-09	1.12669197506e-08	154.0	552.0	80.0	691.0	21.81%	10.38%	NA
MA0088.1.znf143	1.90886424755e-09	1.7686335361e-08	320.0	386.0	234.0	537.0	45.33%	30.35%	NA
MA0062.2.GABPA	1.93672680606e-09	1.7686335361e-08	312.0	394.0	226.0	545.0	44.19%	29.31%	NA
MA0149.1.EWSR1-FLI1	5.74564193693e-09	5.14979758791e-08	525.0	181.0	465.0	306.0	74.36%	60.31%	NA
UP00003_1_E2F3_primary	6.7584590192e-09	5.9474439369e-08	152.0	554.0	82.0	689.0	21.53%	10.64%	NA
UP00065_1_Zfp161_primary	9.02002132499e-09	7.79587557374e-08	200.0	506.0	124.0	647.0	28.33%	16.08%	NA
MA0048.1.NHLH1	1.30860409381e-08	1.11116558141e-07	290.0	416.0	210.0	561.0	41.08%	27.24%	NA
MA0145.2.Tcfcp2l1	1.70951023134e-08	1.42655681374e-07	322.0	384.0	243.0	528.0	45.61%	31.52%	NA
MA0527.1.ZBTB33	2.81870754474e-08	2.31229568077e-07	153.0	553.0	86.0	685.0	21.67%	11.15%	NA
UP00046_1_Tcfe2a_primary	3.46966065048e-08	2.79885959138e-07	218.0	488.0	144.0	627.0	30.88%	18.68%	NA
MA0028.1.ELK1	9.36918447163e-08	7.43391030208e-07	232.0	474.0	160.0	611.0	32.86%	20.75%	NA
MA0076.2.ELK4	6.26314520114e-07	4.87077067553e-06	352.0	354.0	287.0	484.0	49.86%	37.22%	NA
UP00067_1_Lef1_primary	6.34005273881e-07	4.87077067553e-06	143.0	563.0	85.0	686.0	20.25%	11.02%	NA
MA0112.2.ESR1	7.86651175828e-07	5.86979708742e-06	301.0	405.0	235.0	536.0	42.63%	30.48%	NA
MA0499.1.Myod1	7.88299195625e-07	5.86979708742e-06	334.0	372.0	269.0	502.0	47.31%	34.89%	NA
MA0522.1.Tcf3	8.34025062099e-07	6.11618378872e-06	380.0	326.0	318.0	453.0	53.82%	41.25%	NA
UP00083_1_Tcf7l2_primary	9.89933159054e-07	7.15115894003e-06	144.0	562.0	87.0	684.0	20.4%	11.28%	NA
UP00033_1_Zfp410_primary	1.26823172986e-06	9.01804018352e-06	176.0	530.0	116.0	655.0	24.93%	15.05%	NA
MA0461.1.Atoh1	1.28562969558e-06	9.01804018352e-06	308.0	398.0	244.0	527.0	43.63%	31.65%	NA
MA0014.2.PAX5	2.28562878848e-06	1.58034904804e-05	247.0	459.0	185.0	586.0	34.99%	23.99%	NA
MA0484.1.HNF4G	3.14978297147e-06	2.14440213244e-05	259.0	447.0	198.0	573.0	36.69%	25.68%	NA
MA0510.1.RFX5	3.19001970116e-06	2.14440213244e-05	269.0	437.0	208.0	563.0	38.1%	26.98%	NA
MA0514.1.Sox3	3.51654694601e-06	2.30838677643e-05	310.0	396.0	250.0	521.0	43.91%	32.43%	NA
MA0473.1.ELF1	3.52935168298e-06	2.30838677643e-05	431.0	275.0	380.0	391.0	61.05%	49.29%	NA
MA0494.1.Nr1h3::Rxra	5.19066423616e-06	3.34970865374e-05	180.0	526.0	124.0	647.0	25.5%	16.08%	NA
MA0114.2.HNF4A	5.36981959984e-06	3.41972721885e-05	264.0	442.0	205.0	566.0	37.39%	26.59%	NA
MA0519.1.Stat5a::Stat5b	6.90894088888e-06	4.34276284444e-05	257.0	449.0	199.0	572.0	36.4%	25.81%	NA
MA0517.1.STAT2::STAT1	8.49857246747e-06	5.27347317212e-05	320.0	386.0	264.0	507.0	45.33%	34.24%	NA
UP00086_1_Irf3_primary	9.15965387413e-06	5.61173731023e-05	214.0	492.0	158.0	613.0	30.31%	20.49%	NA
MA0111.1.Spz1	1.13324659534e-05	6.85614190181e-05	174.0	532.0	121.0	650.0	24.65%	15.69%	NA
UP00232_1_Dobox4_3956.2	1.27461374499e-05	7.61621052561e-05	91.0	615.0	49.0	722.0	12.89%	6.36%	NA
MA0513.1.SMAD2::SMAD3::SMAD4	1.47598491984e-05	8.71191099029e-05	260.0	446.0	205.0	566.0	36.83%	26.59%	NA
UP00099_1_Ascl2_primary	1.72166098183e-05	0.000100395652434	289.0	417.0	235.0	536.0	40.93%	30.48%	NA
MA0503.1.Nkx2-5.var.2	1.88530317931e-05	0.000108629373665	205.0	501.0	152.0	619.0	29.04%	19.71%	NA
MA0131.1.HINFP	1.96397094805e-05	0.000111830816336	68.0	638.0	32.0	739.0	9.63%	4.15%	NA
MA0067.1.Pax2	2.29026066332e-05	0.000128893739657	111.0	595.0	67.0	704.0	15.72%	8.69%	NA
UP00060_1_Max_primary	2.54358719272e-05	0.000141505310491	128.0	578.0	82.0	689.0	18.13%	10.64%	NA
UP00074_1_Isgf3g_primary	3.24788804815e-05	0.000178633842649	144.0	562.0	97.0	674.0	20.4%	12.58%	NA
MA0500.1.Myog	3.29740889966e-05	0.00017931976488	321.0	385.0	271.0	500.0	45.47%	35.15%	NA
MA0060.2.NFYA	3.63105407936e-05	0.000195270019379	192.0	514.0	142.0	629.0	27.2%	18.42%	NA
UP00066_1_Hnf4a_primary	4.12574830035e-05	0.000219435404106	204.0	502.0	154.0	617.0	28.9%	19.97%	NA
MA0090.1.TEAD1	4.7746802957e-05	0.000251189702513	228.0	478.0	178.0	593.0	32.29%	23.09%	NA
IRF8_ISRE_KANNO	4.92843399952e-05	0.000256490543631	249.0	457.0	199.0	572.0	35.27%	25.81%	NA
MA0081.1.SPIB	5.57024993865e-05	0.000286808613862	283.0	423.0	234.0	537.0	40.08%	30.35%	NA
UP00095_1_Zfp691_primary	5.73833638646e-05	0.000292353138005	168.0	538.0	121.0	650.0	23.8%	15.69%	NA
MA0080.3.Spi1	5.81681576418e-05	0.000293264461444	463.0	243.0	429.0	342.0	65.58%	55.64%	NA
MA0113.2.NR3C1	5.95033419828e-05	0.000296903273399	189.0	517.0	141.0	630.0	26.77%	18.29%	NA
MA0520.1.Stat6	6.15217467792e-05	0.000303842096338	192.0	514.0	144.0	627.0	27.2%	18.68%	NA
MA0052.2.MEF2A	7.56086882626e-05	0.000369642475951	168.0	538.0	122.0	649.0	23.8%	15.82%	NA
IRF8_AICS	8.9198036219e-05	0.000429329908334	371.0	335.0	329.0	442.0	52.55%	42.67%	NA
MA0512.1.Rxra	8.95915717804e-05	0.000429329908334	276.0	430.0	229.0	542.0	39.09%	29.7%	NA
UP00085_1_Sfpi1_primary	0.000102627702185	0.000486978508408	289.0	417.0	243.0	528.0	40.93%	31.52%	NA
MA0523.1.TCF7L2	0.000109737919106	0.000515661678128	158.0	548.0	114.0	657.0	22.38%	14.79%	NA
UP00031_1_Zbtb3_primary	0.00012352593334	0.000574870689773	237.0	469.0	191.0	580.0	33.57%	24.77%	NA
UP00265_1_Pitx3_3497.2	0.000128009766652	0.000590064067233	110.0	596.0	71.0	700.0	15.58%	9.21%	NA
MA0505.1.Nr5a2	0.000151517672541	0.000687895986392	251.0	455.0	206.0	565.0	35.55%	26.72%	NA
MA0598.1.EHF	0.00015207617881	0.000687895986392	491.0	215.0	466.0	305.0	69.55%	60.44%	NA
MA0525.1.TP63	0.000175463892687	0.000786338185746	199.0	507.0	155.0	616.0	28.19%	20.1%	NA
MA0498.1.Meis1	0.000190328313825	0.000845127558634	220.0	486.0	176.0	595.0	31.16%	22.83%	NA
UP00000_1_Smad3_primary	0.000221689151828	0.000973721586072	170.0	536.0	128.0	643.0	24.08%	16.6%	NA
MA0475.1.FLI1	0.00022331218193	0.000973721586072	478.0	228.0	453.0	318.0	67.71%	58.75%	NA
MA0600.1.RFX2	0.000227234609715	0.000973904594602	204.0	502.0	161.0	610.0	28.9%	20.88%	NA
UP00097_1_Mtf1_primary	0.000227378552045	0.000973904594602	108.0	598.0	71.0	700.0	15.3%	9.21%	NA
MA0068.1.Pax4	0.000238369939956	0.00101202676262	238.0	468.0	195.0	576.0	33.71%	25.29%	NA
MA0074.1.RXRA::VDR	0.000249288061344	0.00104917757992	120.0	586.0	82.0	689.0	17.0%	10.64%	NA
MA0089.1.NFE2L1::MafG	0.000297169440552	0.00123991387265	229.0	477.0	187.0	584.0	32.44%	24.25%	NA
MA0027.1.En1	0.000312001021339	0.00129067089169	108.0	598.0	72.0	699.0	15.3%	9.34%	NA
MA0508.1.PRDM1	0.00036408583406	0.00149336901428	340.0	366.0	303.0	468.0	48.16%	39.3%	NA
IRF8_IECS_HAND_KANO	0.000373029452559	0.00151719542049	322.0	384.0	284.0	487.0	45.61%	36.84%	NA
UP00019_1_Zbtb12_primary	0.000389638494708	0.00157154192866	97.0	609.0	63.0	708.0	13.74%	8.17%	NA
MA0521.1.Tcf12	0.000438422816273	0.00175369126509	306.0	400.0	268.0	503.0	43.34%	34.76%	NA
MA0595.1.SREBF1	0.00049069392063	0.00194668735726	178.0	528.0	139.0	632.0	25.21%	18.03%	NA
MA0017.1.NR2F1	0.000523556111866	0.00206017201742	189.0	517.0	150.0	621.0	26.77%	19.46%	NA
UP00035_1_Hic1_primary	0.000545638725409	0.00212975115401	163.0	543.0	125.0	646.0	23.09%	16.21%	NA
UP00190_1_Nkx2-3_3435.1	0.000562650595196	0.0021785831046	70.0	636.0	41.0	730.0	9.92%	5.32%	NA
MA0502.1.NFYB	0.000882935509101	0.00339159354289	165.0	541.0	129.0	642.0	23.37%	16.73%	NA
UP00054_1_Tcf7_primary	0.00090279887589	0.00344058784197	144.0	562.0	109.0	662.0	20.4%	14.14%	NA
MA0002.2.RUNX1	0.000964342944346	0.00364642175831	243.0	463.0	207.0	564.0	34.42%	26.85%	NA
E2A-Homer	0.00101056958068	0.00379159439574	270.0	436.0	235.0	536.0	38.24%	30.48%	NA
MA0486.1.HSF1	0.00123539831548	0.00457865319277	223.0	483.0	188.0	583.0	31.59%	24.38%	NA
MA0051.1.IRF2	0.00123926357077	0.00457865319277	192.0	514.0	157.0	614.0	27.2%	20.36%	NA
MA0066.1.PPARG	0.00138481412953	0.00507765180829	140.0	566.0	107.0	664.0	19.83%	13.88%	NA
MA0093.2.USF1	0.00149187194174	0.00540319921172	184.0	522.0	150.0	621.0	26.06%	19.46%	NA
MA0509.1.Rfx1	0.00152382129135	0.00540319921172	196.0	510.0	162.0	609.0	27.76%	21.01%	NA
UP00053_1_Rxra_primary	0.00152619811607	0.00540319921172	198.0	508.0	164.0	607.0	28.05%	21.27%	NA
UP00036_1_Myf6_primary	0.00152634819224	0.00540319921172	208.0	498.0	174.0	597.0	29.46%	22.57%	NA
MA0136.1.ELF5	0.00152941795869	0.00540319921172	286.0	420.0	254.0	517.0	40.51%	32.94%	NA
UP00058_1_Tcf3_primary	0.00154612984548	0.00542265829864	130.0	576.0	98.0	673.0	18.41%	12.71%	NA
UP00017_1_Nkx3-1_primary	0.00169597812597	0.0059054202372	86.0	620.0	58.0	713.0	12.18%	7.52%	NA
MA0122.1.Nkx3-2	0.00180677842387	0.00624629112251	124.0	582.0	93.0	678.0	17.56%	12.06%	NA
MA0156.1.FEV	0.00206106639831	0.00707486621831	325.0	381.0	297.0	474.0	46.03%	38.52%	NA
MA0464.1.Bhlhe40	0.00211924048234	0.00722332671447	167.0	539.0	135.0	636.0	23.65%	17.51%	NA
MA0108.2.TBP	0.00215626443729	0.00729812578774	94.0	612.0	66.0	705.0	13.31%	8.56%	NA
MA0592.1.ESRRA	0.00218844817235	0.00735561746819	218.0	488.0	186.0	585.0	30.88%	24.12%	NA
UP00195_1_Six3_1732.2	0.00221401829201	0.00739024036782	62.0	644.0	38.0	733.0	8.78%	4.93%	NA
MA0511.1.RUNX2	0.0023180777572	0.00768458653756	249.0	457.0	218.0	553.0	35.27%	28.27%	NA
MA0144.2.STAT3	0.00240650873439	0.00792347093501	292.0	414.0	263.0	508.0	41.36%	34.11%	NA
UP00030_1_Sox11_primary	0.0024650808643	0.00806148066433	236.0	470.0	205.0	566.0	33.43%	26.59%	NA
UP00070_1_Gcm1_primary	0.00260162514439	0.00845091657642	102.0	604.0	74.0	697.0	14.45%	9.6%	NA
UP00216_1_Obox1_3970.2	0.00265544174965	0.00856822537888	103.0	603.0	75.0	696.0	14.59%	9.73%	NA
MA0143.3.Sox2	0.0026989549736	0.00865095501473	183.0	523.0	152.0	619.0	25.92%	19.71%	NA
UP00107_1_Nkx2-4_3074.1	0.00301711739777	0.00960713697712	110.0	596.0	82.0	689.0	15.58%	10.64%	NA
UP00156_1_Msx2_3449.1	0.00313694298533	0.00992340133922	62.0	644.0	39.0	732.0	8.78%	5.06%	NA
MA0483.1.Gfi1b	0.00326073928281	0.0102128775491	197.0	509.0	167.0	604.0	27.9%	21.66%	NA
MA0007.2.AR	0.00327065293413	0.0102128775491	192.0	514.0	162.0	609.0	27.2%	21.01%	NA
MA0098.2.Ets1	0.00339119053797	0.0105213860281	493.0	213.0	486.0	285.0	69.83%	63.04%	NA
UP00062_1_Sox4_primary	0.0035818481611	0.0109986423795	229.0	477.0	200.0	571.0	32.44%	25.94%	NA
UP00104_1_Hmx1_3423.1	0.0036095507925	0.0109986423795	73.0	633.0	49.0	722.0	10.34%	6.36%	NA
MA0038.1.Gfi1	0.00361319036848	0.0109986423795	150.0	556.0	121.0	650.0	21.25%	15.69%	NA
MA0518.1.Stat4	0.00377200658146	0.0114103199089	252.0	454.0	224.0	547.0	35.69%	29.05%	NA
MA0596.1.SREBF2	0.00379989225746	0.0114232785876	162.0	544.0	133.0	638.0	22.95%	17.25%	NA
UP00267_1_Otx2_3441.1	0.00410003690758	0.0122494929831	87.0	619.0	62.0	709.0	12.32%	8.04%	NA
MA0119.1.TLX1::NFIC	0.00418328165544	0.0124215234431	232.0	474.0	204.0	567.0	32.86%	26.46%	NA
UP00150_1_Irx6_2623.2	0.00500984072939	0.0147851397136	74.0	632.0	51.0	720.0	10.48%	6.61%	NA
UP00008_1_Six6_primary	0.00531039629237	0.015471186374	59.0	647.0	38.0	733.0	8.36%	4.93%	NA
UP00165_1_Titf1_1722.2	0.00533221445424	0.015471186374	118.0	588.0	92.0	679.0	16.71%	11.93%	NA
UP00077_1_Srf_primary	0.00533819860425	0.015471186374	87.0	619.0	63.0	708.0	12.32%	8.17%	NA
MA0159.1.RXR::RAR_DR5	0.00544353981202	0.015583527334	205.0	501.0	178.0	593.0	29.04%	23.09%	NA
UP00194_1_Irx4_2242.3	0.00546484226512	0.015583527334	77.0	629.0	54.0	717.0	10.91%	7.0%	NA
MA0474.1.Erg	0.00547355298922	0.015583527334	512.0	194.0	511.0	260.0	72.52%	66.28%	NA
MA0042.1.FOXI1	0.00563770621646	0.0159570164255	171.0	535.0	144.0	627.0	24.22%	18.68%	NA
UP00040_1_Irf5_primary	0.00571465922702	0.0160807852667	69.0	637.0	47.0	724.0	9.77%	6.1%	NA
UP00184_1_Lhx8_2247.2	0.00578165881581	0.016175276687	61.0	645.0	40.0	731.0	8.64%	5.19%	NA
UP00249_1_Nkx2-5_3436.1	0.00594703698155	0.0165423327533	108.0	598.0	83.0	688.0	15.3%	10.77%	NA
UP00159_1_Six2_2307.2	0.00601630404433	0.0166393780426	62.0	644.0	41.0	730.0	8.78%	5.32%	NA
UP00094_1_Zfp128_primary	0.00655508538016	0.0180264098784	38.0	668.0	21.0	750.0	5.38%	2.72%	NA
UP00408_1_Gabpa_primary	0.00659636535659	0.0180264098784	195.0	511.0	169.0	602.0	27.62%	21.92%	NA
MA0117.1.Mafb	0.00665494076873	0.0180264098784	158.0	548.0	132.0	639.0	22.38%	17.12%	NA
MA0050.2.IRF1	0.00666679208313	0.0180264098784	342.0	364.0	323.0	448.0	48.44%	41.89%	NA
MA0526.1.USF2	0.00671905091855	0.0180667813588	183.0	523.0	157.0	614.0	25.92%	20.36%	NA
UP00072_1_IRC900814_primary	0.00710435563773	0.0189972824788	34.0	672.0	18.0	753.0	4.82%	2.33%	NA
MA0091.1.TAL1::TCF3	0.00755354421466	0.0199627219519	138.0	568.0	113.0	658.0	19.55%	14.66%	NA
MA0095.2.YY1	0.00757949054548	0.0199627219519	205.0	501.0	180.0	591.0	29.04%	23.35%	NA
UP00119_1_Nkx2-9_3082.1	0.00758913396519	0.0199627219519	60.0	646.0	40.0	731.0	8.5%	5.19%	NA
MA0092.1.Hand1::Tcfe2a	0.0078772815704	0.0206086717842	190.0	516.0	165.0	606.0	26.91%	21.4%	NA
MA0442.1.SOX10	0.00800716111116	0.0208358385903	338.0	368.0	320.0	451.0	47.88%	41.5%	NA
UP00185_1_Pbx1_3203.1	0.00895383718213	0.0231746374126	88.0	618.0	66.0	705.0	12.46%	8.56%	NA
MA0104.3.Mycn	0.00952476645106	0.0245212072464	156.0	550.0	132.0	639.0	22.1%	17.12%	NA
MA0481.1.FOXP1	0.00972844625544	0.0249130581356	288.0	418.0	268.0	503.0	40.79%	34.76%	NA
UP00049_1_Sp100_primary	0.0107573586062	0.0274029556075	53.0	653.0	35.0	736.0	7.51%	4.54%	NA
UP00025_1_Foxk1_primary	0.0111284445525	0.0281998280806	181.0	525.0	158.0	613.0	25.64%	20.49%	NA
UP00050_1_Bhlhb2_primary	0.0113237314647	0.028545239734	88.0	618.0	67.0	704.0	12.46%	8.69%	NA
MA0133.1.BRCA1	0.0118558011803	0.0297248117362	65.0	641.0	46.0	725.0	9.21%	5.97%	NA
MA0072.1.RORA_2	0.0119144906546	0.0297248117362	114.0	592.0	92.0	679.0	16.15%	11.93%	NA
MA0059.1.MYC::MAX	0.0120703744467	0.0299592883703	116.0	590.0	94.0	677.0	16.43%	12.19%	NA
UP00055_1_Hbp1_primary	0.0128595301568	0.0317551663055	129.0	577.0	107.0	664.0	18.27%	13.88%	NA
MA0106.2.TP53	0.0129485762975	0.0318127458273	131.0	575.0	109.0	662.0	18.56%	14.14%	NA
MA0071.1.RORA_1	0.0132262677731	0.0321836646642	139.0	567.0	117.0	654.0	19.69%	15.18%	NA
UP00084_1_Gmeb1_primary	0.0132325398103	0.0321836646642	43.0	663.0	27.0	744.0	6.09%	3.5%	NA
UP00043_1_Bcl6b_primary	0.0134294085544	0.0324991687017	151.0	555.0	129.0	642.0	21.39%	16.73%	NA
UP00199_1_Six4_2860.1	0.0136406184617	0.0326834620567	105.0	601.0	84.0	687.0	14.87%	10.89%	NA
UP00231_1_Nkx2-2_2823.1	0.0136406184617	0.0326834620567	105.0	601.0	84.0	687.0	14.87%	10.89%	NA
UP00008_3_Six6_2267.4	0.0139926040089	0.0333616765531	61.0	645.0	43.0	728.0	8.64%	5.58%	NA
UP00029_1_Tbp_primary	0.014239229986	0.0337832711433	111.0	595.0	90.0	681.0	15.72%	11.67%	NA
MA0467.1.Crx	0.0144151449873	0.0339843849223	113.0	593.0	92.0	679.0	16.01%	11.93%	NA
UP00176_1_Crx_3485.1	0.0144644282934	0.0339843849223	74.0	632.0	55.0	716.0	10.48%	7.13%	NA
MA0147.2.Myc	0.0158166781651	0.0369819914585	161.0	545.0	140.0	631.0	22.8%	18.16%	NA
MA0141.2.Esrrb	0.0163355802794	0.0380116387272	205.0	501.0	185.0	586.0	29.04%	23.99%	NA
UP00153_1_Pitx1_2312.1	0.016551160272	0.0383290027351	104.0	602.0	84.0	687.0	14.73%	10.89%	NA
UP00037_1_Zfp105_primary	0.0166458935285	0.0383648212753	230.0	476.0	211.0	560.0	32.58%	27.37%	NA
UP00068_1_Eomes_primary	0.0172769135372	0.0396304556967	111.0	595.0	91.0	680.0	15.72%	11.8%	NA
UP00244_1_Tlx2_3498.2	0.0174535744454	0.0398468397715	113.0	593.0	93.0	678.0	16.01%	12.06%	NA
UP00017_3_Nkx3-1_2923.2	0.0195289930289	0.0443757400282	64.0	642.0	47.0	724.0	9.07%	6.1%	NA
UP00155_1_Hmx2_3424.3	0.0207124893498	0.0468450693705	83.0	623.0	65.0	706.0	11.76%	8.43%	NA
UP00041_1_Foxj1_primary	0.0213677051939	0.0479360565206	168.0	538.0	149.0	622.0	23.8%	19.33%	NA
UP00018_1_Irf4_primary	0.0214195893183	0.0479360565206	69.0	637.0	52.0	719.0	9.77%	6.74%	NA
MA0058.2.MAX	0.0215903900967	0.0479360565206	163.0	543.0	144.0	627.0	23.09%	18.68%	NA
MA0115.1.NR1H2::RXRA	0.0218074987876	0.0479360565206	157.0	549.0	138.0	633.0	22.24%	17.9%	NA
UP00148_1_Hdx_3845.3	0.0218222218766	0.0479360565206	127.0	579.0	108.0	663.0	17.99%	14.01%	NA
UP00039_1_Foxj3_primary	0.0219187907193	0.0479360565206	153.0	553.0	134.0	637.0	21.67%	17.38%	NA
MA0083.2.SRF	0.0219686925271	0.0479360565206	132.0	574.0	113.0	658.0	18.7%	14.66%	NA
UP00228_1_Bapx1_2343.1	0.0219871994784	0.0479360565206	89.0	617.0	71.0	700.0	12.61%	9.21%	NA
UP00160_1_Obox3_3439.1	0.0221784657729	0.0481362216775	90.0	616.0	72.0	699.0	12.75%	9.34%	NA
MA0591.1.Bach1::Mafk	0.0230213847566	0.0497426349204	243.0	463.0	227.0	544.0	34.42%	29.44%	NA
UP00183_1_Hoxa13_3126.1	0.0249515317292	0.053673517142	64.0	642.0	48.0	723.0	9.07%	6.23%	NA
UP00081_1_Mybl1_primary	0.0259881210556	0.0556559760661	36.0	670.0	23.0	748.0	5.1%	2.98%	NA
UP00236_1_Irx2_0900.3	0.0266007282884	0.0567169713287	68.0	638.0	52.0	719.0	9.63%	6.74%	NA
