FACTOR	P-VALUE	CORR.P-VALUE	A	B	C	D	FREQ	BACK.FREQ.	GENES
MA0107.1.RELA	1.05720097895e-89	5.11685273812e-87	513.0	193.0	167.0	604.0	72.66%	21.66%	NA
MA0105.3.NFKB1	1.61029523456e-75	3.89691446764e-73	546.0	160.0	235.0	536.0	77.34%	30.48%	NA
MA0101.1.REL	1.7559494885e-67	2.83293184144e-65	478.0	228.0	181.0	590.0	67.71%	23.48%	NA
UP00102_1_Zic1_primary	9.51329806023e-29	1.15110906529e-26	319.0	387.0	143.0	628.0	45.18%	18.55%	NA
UP00093_1_Klf7_primary	3.80130026611e-26	3.16938732359e-24	530.0	176.0	374.0	397.0	75.07%	48.51%	NA
MA0163.1.PLAG1	3.92899254991e-26	3.16938732359e-24	463.0	243.0	295.0	476.0	65.58%	38.26%	NA
UP00006_1_Zic3_primary	6.84275488729e-26	4.73127623636e-24	310.0	396.0	145.0	626.0	43.91%	18.81%	NA
MA0056.1.MZF1_1-4	1.08974837196e-25	6.59297765034e-24	580.0	126.0	442.0	329.0	82.15%	57.33%	NA
MA0079.3.SP1	5.02757476432e-24	2.70371798437e-22	616.0	90.0	502.0	269.0	87.25%	65.11%	NA
UP00057_1_Zic2_primary	1.13139346105e-23	5.47594435146e-22	295.0	411.0	140.0	631.0	41.78%	18.16%	NA
MA0599.1.KLF5	1.65797973347e-23	7.29511082726e-22	590.0	116.0	466.0	305.0	83.57%	60.44%	NA
MA0162.2.EGR1	3.38184543299e-23	1.33278494986e-21	579.0	127.0	452.0	319.0	82.01%	58.63%	NA
UP00002_1_Sp4_primary	3.57979428682e-23	1.33278494986e-21	500.0	206.0	351.0	420.0	70.82%	45.53%	NA
UP00021_1_Zfp281_primary	7.79240968011e-23	2.69394734655e-21	529.0	177.0	388.0	383.0	74.93%	50.32%	NA
MA0516.1.SP2	8.49725706763e-23	2.74178161382e-21	613.0	93.0	503.0	268.0	86.83%	65.24%	NA
MA0039.2.Klf4	7.70631208463e-22	2.3311594056e-20	548.0	158.0	417.0	354.0	77.62%	54.09%	NA
MA0470.1.E2F4	9.79207235088e-22	2.78786059872e-20	370.0	336.0	217.0	554.0	52.41%	28.15%	NA
UP00088_1_Plagl1_primary	5.95931226725e-21	1.60239285408e-19	282.0	424.0	139.0	632.0	39.94%	18.03%	NA
