"cluster1"	"cluster2"	"cluster3"	"cluster4"
"MA0156.1.FEV"	-3.04941510602894	-3.12359000245026	0	-5.3985450029295
"MA0499.1.Myod1"	-0.44679626856124	2.7612008967183	9.15967219404284	3.05200460804626
"E2A-Homer"	-4.47618752702805	2.15311244711857	1.5786761727743	0.075110614095184
"UP00099_1_Ascl2_primary"	-0.78462772907052	4.85812200963684	5.98699976919491	4.81503613835616
"MA0600.1.RFX2"	-0.0174877769875317	0.822608057880459	-0.508483673319041	2.34618563026019
"UP00024_1_Glis2_primary"	0.627630416746456	3.14626639559682	0.817378172034422	1.74621988188111
"MA0500.1.Myog"	-3.27688803353145	2.9568696530393	1.74893788816766	2.21133483712581
"MA0461.1.Atoh1"	1.38270686338109	-0.700110795323812	1.91303344714717	-5.00406243506564
"UP00406_1_Spdef_primary"	-1.23162914188519	-0.000522398250338328	1.21552567430889	-7.8716056921693
"UP00047_1_Zbtb7b_primary"	2.17879887782938	1.88482827889423	0.00197074781961871	3.89627756037447
"MA0521.1.Tcf12"	-3.42648720178927	1.01452700550931	3.29075066051704	-0.444048391372396
"UP00084_1_Gmeb1_primary"	-0.098088277052208	-0.498325211505231	2.07931288281082	4.39931179499414
"MA0150.2.Nfe2l2"	-1.82945063416768	-0.409839959693774	-10.3012543781146	-7.81941073204429
"UP00003_1_E2F3_primary"	0	9.73328955021738	0	0
"UP00097_1_Mtf1_primary"	-0.711609865183049	3.66878885106239	-2.14248212062036	1.54940227028512
"MA0492.1.JUND.var.2"	-0.0158457023878823	-0.551000237260889	-6.13796591894357	-2.1836369691815
"MA0073.1.RREB1"	1.29990280492922	6.1478347240097	9.13152306191808	7.56462968145183
"UP00070_1_Gcm1_primary"	3.18438080456345	0.0648640420999384	4.92290868169552	1.35948547243226
"UP00020_1_Atf1_primary"	-3.93615940285292	2.86319628413152	-0.726947989635933	0
"UP00010_1_Tcfap2b_primary"	4.51200949999619	11.2161700528129	4.61821030092188	0.510804367921789
"MA0059.1.MYC::MAX"	0.00232740911357431	-2.25458310532994e-05	1.6000670588787	-1.38595633737872
"MA0597.1.THAP1"	-2.18644755752434	2.07529673218735	3.07271425145525	6.01559069198874
"UP00103_1_Jundm2_primary"	-3.30661404835185	-0.418679947685257	-3.797526005291	2.26890996670711
"MA0105.3.NFKB1"	13.1126627149774	6.024071663849	2.79266275648802	2.78883904646005
"MA0136.1.ELF5"	0	-0.00498001330059865	-7.35329195417817	-6.71946076974961
"MA0501.1.NFE2::MAF"	-2.8118856034409	-0.000411228159906228	-10.3521029026226	-4.57173451517315
"MA0003.2.TFAP2A"	0.526367073125869	8.42272897850837	5.63771258153838	0
"MA0117.1.Mafb"	-7.94795424885499	1.88582293690493	1.52329882703019	0
"MA0522.1.Tcf3"	-1.31603409099996	1.89677625159031	6.86275166200469	5.07618946904999
"MA0478.1.FOSL2"	-4.53505342261256	-3.32075735494925	0	-13.3823353202202
"MA0065.2.PPARG::RXRA"	0.0195384830994509	7.37093349884852	3.43725229024641	4.01917346861246
"MA0101.1.REL"	11.4595374409438	11.6886466637487	6.24512216854859	0
"UP00088_1_Plagl1_primary"	0	9.35987292644561	8.27188552869665	0.327084151408142
"UP00028_1_Tcfap2e_primary"	5.14597295285357	11.250234818456	7.17248143107965	0
"UP00407_1_Elf3_primary"	-0.00118259987315997	-0.00594014057621901	-9.66727951035516	-10.117536323295
"UP00085_1_Sfpi1_primary"	-1.89150329246176	0.0268221837754661	-5.12663622065206	-10.9296952385754
"MA0259.1.HIF1A::ARNT"	1.08970338485274	8.6015825286978	2.43029994012376	-4.99543729599502
"MA0138.2.REST"	2.0684068243441	-1.31945067610548	7.23116664519068	2.61311121451815
"MA0080.3.Spi1"	-8.04534842935725	-0.980839962269081	-1.94377897406314	0
"MA0509.1.Rfx1"	-0.00128947054487704	0.113823348233424	-2.85883027181246	-0.252604090018982
"MA0154.2.EBF1"	6.79208183764287	12.5397625782528	9.04541111136456	12.6419514988373
"Ash2l_hand"	0	12.0321010801252	10.4151631824343	0
"MA0116.1.Zfp423"	0.943610091323694	8.7602368412184	6.15387339150814	12.1115208405728
"MA0057.1.MZF1_5-13"	-1.94196802403581	10.2503883614571	0	0
"MA0131.1.HINFP"	-1.62027249076219	1.76433788584867	9.361341466219	8.52035939334295
"MA0462.1.BATF::JUN"	-2.33396800656423	-2.16829925772574	0	-13.3840468303087
"UP00005_1_Tcfap2a_primary"	7.10827296660251	9.24666249515654	10.0317716705852	0
"MA0145.2.Tcfcp2l1"	6.83082077910267	12.6127265239878	5.92702273398979	3.25061409805967
"MA0504.1.NR2C2"	0	8.4012866380829	7.67515389697936	0
"MA0591.1.Bach1::Mafk"	-5.25539683513431	-0.696793632613161	-0.322663813177549	-1.31987807891873
"MA0488.1.JUN"	-0.0325838314005357	-0.116112837751653	-3.36230086083848	-0.835000580956699
"MA0060.2.NFYA"	-4.91856195889676	-1.14997943495261	-4.93566424189719	0
"UP00076_1_Rfxdc2_primary"	-0.0378421853657229	0.00463357794875833	6.46382319971141	-8.0696625607029
"MA0081.1.SPIB"	-1.28603332038359	-0.0619249820262207	-6.58477633765533	-4.47837858597264
"UP00087_1_Tcfap2c_primary"	7.03036957629297	10.6862391980108	9.24936261318825	0
"MA0119.1.TLX1::NFIC"	0	0.644805446952038	4.68567134409297	-3.40364821339199
"MA0107.1.RELA"	13.3613254334993	12.878472984178	10.0569072000878	4.08942438418739
"MA0088.1.znf143"	-5.45473856886082e-10	-0.288604216946518	1.17301300364968	0.168501510421174
