	"cluster1"	"cluster2"	"cluster3"	"cluster4"
"UP00003_1_E2F3_primary"	0	9.73328955021738	0	0
"UP00097_1_Mtf1_primary"	-0.711609865183049	3.66878885106239	-2.14248212062036	1.54940227028512
"MA0492.1.JUND.var.2"	-0.0158457023878823	-0.551000237260889	-6.13796591894357	-2.1836369691815
"UP00020_1_Atf1_primary"	-3.93615940285292	2.86319628413152	-0.726947989635933	0
"UP00103_1_Jundm2_primary"	-3.30661404835185	-0.418679947685257	-3.797526005291	2.26890996670711
"MA0105.3.NFKB1"	13.1126627149774	6.024071663849	2.79266275648802	2.78883904646005
"MA0501.1.NFE2::MAF"	-2.8118856034409	-0.000411228159906228	-10.3521029026226	-4.57173451517315
"MA0003.2.TFAP2A"	0.526367073125869	8.42272897850837	5.63771258153838	0
"MA0117.1.Mafb"	-7.94795424885499	1.88582293690493	1.52329882703019	0
"MA0522.1.Tcf3"	-1.31603409099996	1.89677625159031	6.86275166200469	5.07618946904999
"MA0478.1.FOSL2"	-4.53505342261256	-3.32075735494925	0	-13.3823353202202
"MA0101.1.REL"	11.4595374409438	11.6886466637487	6.24512216854859	0
"UP00407_1_Elf3_primary"	-0.00118259987315997	-0.00594014057621901	-9.66727951035516	-10.117536323295
"MA0462.1.BATF::JUN"	-2.33396800656423	-2.16829925772574	0	-13.3840468303087
"MA0145.2.Tcfcp2l1"	6.83082077910267	12.6127265239878	5.92702273398979	3.25061409805967
"MA0591.1.Bach1::Mafk"	-5.25539683513431	-0.696793632613161	-0.322663813177549	-1.31987807891873
"MA0488.1.JUN"	-0.0325838314005357	-0.116112837751653	-3.36230086083848	-0.835000580956699
"MA0107.1.RELA"	13.3613254334993	12.878472984178	10.0569072000878	4.08942438418739
"MA0502.1.NFYB"	-0.641912207004082	0	-3.05433107336781	5.80054149193831
