"with_clust1"	"with_clust2"	"with_clust3"	"with_clust4"	"with_clust5"	"wo_clust1"	"wo_clust2"	"wo_clust3"	"wo_clust4"	"wo_clust5"
"MA0163.1.PLAG1"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.0365594334059	13.3840468303086	13.3840468303086	13.3840468303086
"MA0528.1.ZNF263"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086
"MA0470.1.E2F4"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086
"MA0472.1.EGR2"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086
"MA0599.1.KLF5"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086
"MA0067.1.Pax2"	10.5794238227333	10.9531632866282	13.3840468303086	13.3840468303086	12.3011842795266	6.72847229739684	6.90253686587664	12.8618691255069	13.3840468303086	13.3840468303086
"UP00007_1_Egr1_primary"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086
"MA0099.2.JUN::FOS"	13.0477162354687	9.25062193577134	13.3840468303086	13.3840468303086	13.3840468303086	12.2403438591733	7.00121970228736	13.3840468303086	13.3840468303086	13.3840468303086
"MA0516.1.SP2"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086
"MA0490.1.JUNB"	9.69355374564138	10.6808109389016	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	9.87374835347775	13.3840468303086	13.3840468303086	13.3840468303086
"MA0527.1.ZBTB33"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	12.6466660665786	13.3840468303086	9.28091321394966	13.3840468303086	13.3840468303086	13.3840468303086
"MA0476.1.FOS"	8.72954103989402	7.69145287083457	13.3840468303086	12.1965867608913	13.3840468303086	13.3840468303086	12.1570452558291	13.3840468303086	13.3840468303086	13.3840468303086
"UP00093_1_Klf7_primary"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086
"MA0056.1.MZF1_1-4"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	10.1657301904309	6.44799133081762	11.3823340485317	8.82220026010694	13.3840468303086
"MA0162.2.EGR1"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086
"klf4_homer"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086
"MA0146.2.Zfx"	11.319387601802	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	10.5983401272526	8.89581815601371	13.3840468303086	13.3840468303086
"MA0048.1.NHLH1"	12.422727821095	5.90851317816582	13.3840468303086	13.3840468303086	13.3840468303086	5.45505192723055	5.88017999447614	11.5198612284111	13.3840468303086	13.3840468303086
"MA0076.2.ELK4"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086
"MA0039.2.Klf4"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086
"MA0024.2.E2F1"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086
"MA0491.1.JUND"	12.2098275331252	7.56817428994895	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086
"MA0469.1.E2F3"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086
"MA0028.1.ELK1"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	5.41986047931001	13.3840468303086	13.3840468303086	13.3840468303086
"MA0524.1.TFAP2C"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	9.9647387714598	7.87308929436056	9.00312373090559	13.3840468303086	13.3840468303086
"UP00065_1_Zfp161_primary"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086
"MA0493.1.Klf1"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086
"MA0471.1.E2F6"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086
"MA0155.1.INSM1"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	12.0893673139009	8.95990404167216	9.22991158614393	13.3840468303086	13.3840468303086
"UP00002_1_Sp4_primary"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086
"UP00102_1_Zic1_primary"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086
"MA0477.1.FOSL1"	10.9077357685864	10.0388586677491	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	11.1623381982878	13.3840468303086	13.3840468303086	13.3840468303086
"MA0079.3.SP1"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086
"UP00021_1_Zfp281_primary"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086
"UP00408_1_Gabpa_primary"	7.39927893840049	5.2038252927525	13.3840468303086	13.3840468303086	12.0002025200465	11.2892902706915	6.13159755190861	13.3840468303086	13.3840468303086	13.3840468303086
"UP00001_1_E2F2_primary"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	6.70831451873286	13.3840468303086	13.3840468303086	13.3840468303086
"MA0474.1.Erg"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086
"MA0473.1.ELF1"	13.3840468303086	12.6340280899948	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	11.0798065442494	13.3840468303086	13.3840468303086	13.3840468303086
"UP00022_1_Zfp740_primary"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	10.6803811022058	11.1814764913037	13.3840468303086	13.3840468303086
"UP00057_1_Zic2_primary"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086
"MA0098.2.Ets1"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086
"MA0062.2.GABPA"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086
"MA0506.1.NRF1"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086
"MA0475.1.FLI1"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086
"UP00006_1_Zic3_primary"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086
"MA0139.1.CTCF"	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	12.2403438591733	6.07394742952645	11.9245570652556	13.3840468303086	13.3840468303086
"MA0598.1.EHF"	12.119724190291	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	13.3840468303086	10.866124097301	13.3840468303086	13.3840468303086	13.3840468303086
"MA0489.1.JUN.var.2"	6.01833104982051	6.33166634221224	13.3840468303086	5.49195640905571	13.3840468303086	13.3840468303086	12.3512288458421	13.3840468303086	13.3840468303086	13.3840468303086
