"Cluster 1"	"Cluster 2"	"Cluster 3"	"Cluster 4"
"GLIS3 | UP00024_1_Glis2_primary"	0.627630416746456	3.14626639559682	0.817378172034422	1.74621988188111
"NF2L1 | MA0150.2.Nfe2l2"	-1.82945063416768	-0.409839959693774	-10.3012543781145	-7.81941073204429
"E2F5 | UP00003_1_E2F3_primary"	0	9.73328955021734	0	0
"MA0492.1.JUND.var.2"	-0.0158457023878824	-0.551000237260889	-6.13796591894357	-2.1836369691815
"JUND | UP00103_1_Jundm2_primary"	-3.30661404835186	-0.41867994768526	-3.79752600529099	2.2689099667071
"NFKB1 | MA0105.3.NFKB1"	13.1126627149774	6.02407166384896	2.792662756488	2.78883904646
"MAF | NFE2L1 | MA0501.1.NFE2::MAF"	-2.8118856034409	-0.000411228159906228	-10.3521029026226	-4.57173451517315
"TFAP2A | MA0003.2.TFAP2A"	0.526367073125801	8.42272897850833	5.63771258153834	0
"MAFA | MAFF | MAFK | MA0117.1.Mafb"	-7.94795424885499	1.88582293690493	1.5232988270302	0
"TFC3 | MA0522.1.Tcf3"	-1.31603409099996	1.89677625159031	6.86275166200465	5.07618946905003
"FOSL2 | MA0478.1.FOSL2"	-4.53505342261256	-3.32075735494925	0	-13.3823353202201
"REL | MA0101.1.REL"	11.4595374409437	11.6886466637486	6.24512216854855	0
"ARNT | MA0259.1.HIF1A::ARNT"	1.08970338485274	8.6015825286978	2.43029994012376	-4.99543729599503
"EBF3 | MA0154.2.EBF1"	6.79208183764287	12.5397625782528	9.04541111136452	12.6419514988373
"JUN | MA0462.1.BATF::JUN"	-2.33396800656424	-2.16829925772575	0	-13.3840468303086
"MAFK | MA0591.1.Bach1::Mafk"	-5.25539683513429	-0.69679363261316	-0.322663813177501	-1.3198780789187
"JUN | MA0488.1.JUN"	-0.0325838314005358	-0.116112837751653	-3.36230086083848	-0.835000580956699
"RELA | MA0107.1.RELA"	13.3613254334992	12.8784729841779	10.0569072000877	4.08942438418735
"PAX9 | MA0067.1.Pax2"	3.85095152533646	4.05062642075156	0.522177704801701	0
"FOS | MA0476.1.FOS"	-4.65450579041458	-4.46559238499453	0	-1.1874600694173
"NHLH1 | MA0048.1.NHLH1"	6.96767589386445	0.0283331836896803	1.8641856018975	0
"JUND | MA0491.1.JUND"	-1.1742192971834	-5.81587254035965	0	0
"ELK3 | MA0028.1.ELK1"	0	7.96418635099859	0	0
"E2F5 | UP00001_1_E2F2_primary"	0	6.67573231157574	0	0
"JUN | MA0489.1.JUN.var.2"	-7.36571578048809	-6.01956250362986	0	-7.89209042125289
